"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
4.8008,1.55417,1.551975337,0.0028
4.8187,1.5542,1.551842659,0.00298
4.8367,1.55417,1.551814153,0.0031
4.8548,1.5541,1.551780021,0.00306
4.873,1.55375,1.551709723,0.00306
4.8914,1.5533,1.551630696,0.00304
4.91,1.55332,1.551448975,0.00286
4.9286,1.55334,1.551198368,0.00292
4.9474,1.5531,1.551065841,0.00323
4.9664,1.55286,1.551050254,0.00325
4.9855,1.55265,1.55090021,0.00303
5.0047,1.55226,1.550588464,0.00302
5.0241,1.55203,1.550287901,0.00324
5.0437,1.55185,1.550024761,0.00341
5.0634,1.55126,1.549655015,0.00355
5.0832,1.55079,1.549404096,0.00437
5.1033,1.55096,1.549530119,0.00521
5.1234,1.55143,1.549975272,0.00574
5.1438,1.55238,1.550646425,0.00626
5.1643,1.55309,1.551431122,0.00586
5.1849,1.55309,1.551789276,0.00494
5.2057,1.55291,1.551677835,0.00416
5.2267,1.55242,1.551187275,0.00344
5.2479,1.55154,1.550441399,0.00329
5.2692,1.55087,1.549834289,0.00377
5.2907,1.55092,1.549542514,0.00443
5.3124,1.55125,1.549582562,0.00512
5.3343,1.55189,1.550002625,0.00573
5.3563,1.55271,1.550664684,0.00566
5.3785,1.55289,1.550956133,0.00466
5.4009,1.55242,1.550597554,0.00374
5.4235,1.55176,1.549880527,0.00341
5.4463,1.55092,1.549202484,0.00365
5.4693,1.54993,1.548717884,0.00402
5.4925,1.54945,1.548300545,0.00434
5.5159,1.55002,1.548055223,0.00509
5.5394,1.55082,1.548360806,0.00596
5.5632,1.55129,1.548814239,0.00564
5.5872,1.55144,1.548638965,0.00451
5.6114,1.55129,1.547597292,0.00369
5.6358,1.55042,1.545823137,0.00356
5.6604,1.54767,1.54392383,0.00541
5.6852,1.54548,1.543564673,0.0098
5.7103,1.5469,1.545582626,0.0136
5.7355,1.55012,1.548937664,0.0146
5.761,1.55263,1.551647898,0.0127
5.7867,1.55358,1.552716102,0.00984
5.8127,1.55303,1.552662075,0.00833
5.8389,1.55243,1.552371714,0.0072
5.8653,1.55166,1.551820497,0.00626
5.8919,1.55034,1.551223399,0.00598
5.9188,1.5498,1.550730667,0.00572
5.946,1.54978,1.550203332,0.00546
5.9734,1.54902,1.549787315,0.00558
6.0011,1.54853,1.549502062,0.00543
6.029,1.5488,1.549018496,0.00487
6.0571,1.5483,1.548221229,0.00458
6.0856,1.5472,1.547346863,0.00469
6.1143,1.54587,1.546386789,0.00457
6.1433,1.5446,1.54488148,0.00441
6.1725,1.54228,1.54238006,0.00479
6.202,1.53801,1.540473319,0.0098
6.2319,1.54106,1.543274163,0.0185
6.262,1.551,1.549392398,0.0187
6.2924,1.55443,1.552516263,0.0124
6.3231,1.55355,1.552568079,0.00944
6.3541,1.55229,1.551718729,0.00664
6.3854,1.54999,1.549833032,0.00461
6.417,1.54766,1.547694545,0.00457
6.4489,1.54569,1.546252622,0.00546
6.4811,1.54468,1.545379376,0.00575
6.5137,1.5438,1.544069135,0.00491
6.5466,1.542,1.541799586,0.00442
6.5798,1.53885,1.538668591,0.0047
6.6134,1.53305,1.53318642,0.00469
6.6473,1.52191,1.527975653,0.0152
