"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
11.272,1.53791,1.539415655,0.0125
11.37,1.53686,1.538762188,0.0124
11.471,1.53642,1.537913792,0.012
11.573,1.53593,1.537387829,0.0122
11.678,1.53504,1.537022696,0.0124
11.784,1.53307,1.537150567,0.0126
11.892,1.53267,1.537946263,0.0131
12.002,1.53579,1.539204179,0.0116
12.114,1.53733,1.539281964,0.00779
12.229,1.53473,1.537151763,0.00406
12.345,1.53192,1.534111983,0.00319
12.464,1.52925,1.531699504,0.00404
12.585,1.52563,1.529698044,0.00393
12.708,1.52309,1.528072803,0.00533
12.834,1.52083,1.526950666,0.00553
12.962,1.51979,1.525258814,0.00486
13.093,1.51941,1.522985666,0.00532
13.227,1.51695,1.520798683,0.0063
13.363,1.51318,1.518344721,0.00678
13.502,1.51087,1.515441372,0.00851
13.645,1.50841,1.512855793,0.0115
13.79,1.50402,1.509935004,0.0132
13.938,1.49857,1.506204269,0.018
14.089,1.49562,1.505069629,0.0282
14.244,1.49796,1.508204136,0.0374
14.403,1.50559,1.514192312,0.0432
14.564,1.51563,1.521189277,0.0438
14.73,1.52412,1.524922759,0.0389
14.899,1.5234,1.524127929,0.0335
15.072,1.51161,1.518907806,0.0321
15.25,1.50001,1.513091452,0.0401
15.431,1.49916,1.5133881,0.0565
15.617,1.51306,1.521754875,0.0718
15.808,1.52972,1.534808883,0.0787
16.003,1.54134,1.548870728,0.0805
16.203,1.55847,1.564247599,0.0809
16.408,1.58274,1.580628153,0.0723
16.618,1.59725,1.590577642,0.0505
16.834,1.59202,1.589535684,0.0297
17.056,1.57978,1.583247333,0.0201
17.283,1.57125,1.577814916,0.0163
17.517,1.56804,1.573674514,0.0134
17.757,1.56479,1.56973182,0.0107
18.003,1.55895,1.565606069,0.01
18.257,1.55685,1.563488401,0.0137
18.518,1.55505,1.564864666,0.016
18.786,1.55304,1.566377769,0.0125
19.062,1.55,1.566179333,0.00981
19.347,1.54672,1.565427438,0.00757
19.64,1.54316,1.564230893,0.00541
19.942,1.54354,1.56392394,0.0056
