"Wavenumber (cm-1)","Refractive index","Extinction coefficient"
7704.439047,1.553770185,4.94867E-05
7703.956918,1.553770304,4.93486E-05
7703.474788,1.553770185,4.92109E-05
7702.992658,1.553770065,4.91077E-05
7702.510528,1.553770065,4.90698E-05
7702.028398,1.553769946,4.91195E-05
7701.546268,1.553769827,4.92511E-05
7701.064138,1.553769827,4.94091E-05
7700.582009,1.553769946,4.95204E-05
7700.099879,1.553770065,4.95462E-05
7699.617749,1.553770185,4.95052E-05
7699.135619,1.553770304,4.94584E-05
7698.653489,1.553770185,4.94564E-05
7698.171359,1.553770185,4.95154E-05
7697.689229,1.553770304,4.9618E-05
7697.2071,1.553770423,4.97102E-05
7696.72497,1.553770661,4.97256E-05
7696.24284,1.5537709,4.96207E-05
7695.76071,1.553771019,4.94241E-05
7695.27858,1.5537709,4.92269E-05
7694.79645,1.5537709,4.91176E-05
7694.31432,1.553770781,4.91184E-05
7693.832191,1.553770661,4.91893E-05
7693.350061,1.553770781,4.92639E-05
7692.867931,1.5537709,4.92881E-05
7692.385801,1.553771019,4.9226E-05
7691.903671,1.553771138,4.90756E-05
7691.421541,1.553771019,4.88901E-05
7690.939411,1.5537709,4.87681E-05
7690.457282,1.553770781,4.87791E-05
7689.975152,1.553770661,4.88951E-05
7689.493022,1.553770661,4.90105E-05
7689.010892,1.553770781,4.90499E-05
7688.528762,1.5537709,4.90181E-05
7688.046632,1.5537709,4.89521E-05
7687.564502,1.5537709,4.88672E-05
7687.082372,1.5537709,4.87721E-05
7686.600243,1.553770781,4.87145E-05
7686.118113,1.553770542,4.87728E-05
7685.635983,1.553770542,4.89431E-05
7685.153853,1.553770661,4.9111E-05
7684.671723,1.553770781,4.91559E-05
7684.189593,1.5537709,4.90821E-05
7683.707463,1.5537709,4.90085E-05
7683.225334,1.553770781,4.90178E-05
7682.743204,1.553770781,4.90619E-05
7682.261074,1.5537709,4.90475E-05
7681.778944,1.553770781,4.89816E-05
7681.296814,1.553770781,4.89837E-05
7680.814684,1.553770661,4.9126E-05
7680.332554,1.553770661,4.93243E-05
7679.850425,1.5537709,4.94244E-05
7679.368295,1.553771019,4.93722E-05
7678.886165,1.553771138,4.92603E-05
7678.404035,1.553771138,4.92079E-05
7677.921905,1.553771138,4.92289E-05
7677.439775,1.553771138,4.92516E-05
7676.957645,1.553771257,4.92228E-05
7676.475516,1.553771257,4.91554E-05
7675.993386,1.553771257,4.90899E-05
7675.511256,1.553771377,4.90366E-05
7675.029126,1.553771257,4.89832E-05
7674.546996,1.553771257,4.89398E-05
7674.064866,1.553771257,4.89277E-05
7673.582736,1.553771138,4.89404E-05
7673.100607,1.553771257,4.89398E-05
7672.618477,1.553771257,4.88985E-05
7672.136347,1.553771138,4.88534E-05
7671.654217,1.553771138,4.88621E-05
7671.172087,1.553771019,4.89367E-05
7670.689957,1.553771138,4.90241E-05
7670.207827,1.553771138,4.90572E-05
7669.725698,1.553771257,4.90304E-05
7669.243568,1.553771138,4.89997E-05
7668.761438,1.553771138,4.90149E-05
7668.279308,1.553771138,4.90731E-05
7667.797178,1.553771138,4.9127E-05
7667.315048,1.553771257,4.91515E-05
7666.832918,1.553771257,4.91634E-05
7666.350789,1.553771377,4.9191E-05
7665.868659,1.553771377,4.92115E-05
7665.386529,1.553771615,4.91685E-05
7664.904399,1.553771615,4.90303E-05
7664.422269,1.553771734,4.8846E-05
7663.940139,1.553771615,4.87015E-05
7663.458009,1.553771496,4.86427E-05
7662.97588,1.553771377,4.86377E-05
7662.49375,1.553771257,4.86332E-05
7662.01162,1.553771257,4.86258E-05
7661.52949,1.553771138,4.86608E-05
7661.04736,1.553771019,4.87602E-05
7660.56523,1.553771019,4.88927E-05
7660.0831,1.553771019,4.90146E-05
7659.600971,1.553771019,4.91178E-05
7659.118841,1.553771138,4.92087E-05
7658.636711,1.553771377,4.92576E-05
7658.154581,1.553771496,4.92104E-05
7657.672451,1.553771615,4.90687E-05
7657.190321,1.553771615,4.89177E-05
7656.708191,1.553771496,4.88547E-05
7656.226061,1.553771496,4.8876E-05
7655.743932,1.553771496,4.88873E-05
7655.261802,1.553771615,4.8823E-05
7654.779672,1.553771496,4.87163E-05
7654.297542,1.553771377,4.86551E-05
7653.815412,1.553771377,4.86736E-05
7653.333282,1.553771257,4.87346E-05
7652.851152,1.553771257,4.88019E-05
7652.369023,1.553771257,4.88805E-05
7651.886893,1.553771377,4.89601E-05
7651.404763,1.553771496,4.89774E-05
7650.922633,1.553771734,4.88553E-05
7650.440503,1.553771734,4.86252E-05
7649.958373,1.553771615,4.84283E-05
7649.476243,1.553771257,4.8407E-05
7648.994114,1.553771138,4.8576E-05
7648.511984,1.553771138,4.88163E-05
7648.029854,1.553771377,4.89718E-05
7647.547724,1.553771496,4.89602E-05
7647.065594,1.553771734,4.87929E-05
7646.583464,1.553771734,4.85539E-05
7646.101334,1.553771615,4.83593E-05
7645.619205,1.553771496,4.82887E-05
