Microplastic fragments: 100 MP m-3
Mean net RF (W m-2):,-1.5923e-02
Mean Delta TOA up flux SW (W m-2):,2.0029e-01
Mean Delta TOA up flux LW (W m-2):,-1.8437e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case4,9565,3.3855e-05,1.4496e-04,1.1609e-01,-3.1650e-04,0.0000e+00,-1.5231e-01
case4,12062,3.3200e-05,1.8311e-04,1.1621e-01,-3.4302e-04,0.0000e+00,-1.5324e-01
case4,14080,3.2783e-05,2.1362e-04,1.1633e-01,-3.5912e-04,0.0000e+00,-1.5407e-01
case4,16417,3.4153e-05,2.4986e-04,1.1649e-01,-3.5909e-04,0.0000e+00,-1.5506e-01
case4,19217,4.2915e-05,2.9373e-04,1.1661e-01,-3.6670e-04,0.0000e+00,-1.5627e-01
case4,22563,5.6684e-05,3.4523e-04,1.1685e-01,-4.0013e-04,0.0000e+00,-1.5771e-01
case4,26397,9.0343e-04,4.0436e-04,1.1716e-01,-4.6760e-04,0.0000e+00,-1.5953e-01
case4,28503,8.8549e-04,4.7670e-02,1.0822e-01,-7.2050e-04,1.2718e-02,-1.4798e-01
case4,30728,8.6319e-04,9.7103e-02,9.8846e-02,-9.3746e-04,2.6058e-02,-1.3654e-01
case4,33094,8.4198e-04,1.4915e-01,8.8959e-02,-9.9039e-04,3.9906e-02,-1.2534e-01
case4,35595,8.1742e-04,2.0335e-01,7.8796e-02,-1.2569e-03,5.3349e-02,-1.1482e-01
case4,38243,7.8523e-04,2.5977e-01,6.8298e-02,-2.0146e-03,6.6978e-02,-1.0513e-01
case4,41043,7.5388e-04,3.1966e-01,5.6824e-02,-2.3821e-03,8.4106e-02,-9.4696e-02
case4,44000,6.9290e-04,3.8235e-01,4.4800e-02,-2.4486e-03,1.0234e-01,-8.4839e-02
case4,47110,6.5321e-04,4.4723e-01,3.2318e-02,-2.5972e-03,1.2012e-01,-7.6080e-02
case4,50404,6.7315e-04,5.1501e-01,1.9226e-02,-3.1993e-03,1.3840e-01,-6.7932e-02
case4,53894,5.9927e-04,5.8662e-01,5.2185e-03,-2.9818e-03,1.5993e-01,-5.9662e-02
case4,57603,5.4687e-04,6.6106e-01,-9.4299e-03,-2.8898e-03,1.8060e-01,-5.2124e-02
case4,61529,1.4162e-04,7.3827e-01,-2.4811e-02,-8.8930e-05,2.0109e-01,-4.5074e-02
case4,65690,5.9012e-04,8.1200e-01,-3.9886e-02,-3.3722e-03,2.0601e-01,-4.0588e-02
case4,70120,5.8123e-04,8.9658e-01,-5.6610e-02,-3.2086e-03,2.2998e-01,-3.4332e-02
case4,74857,4.8387e-04,9.8518e-01,-7.4280e-02,-2.6920e-03,2.5499e-01,-2.7344e-02
case4,79904,2.7698e-04,1.0763e+00,-9.2834e-02,-1.8615e-03,2.7829e-01,-2.0172e-02
case4,84154,5.6565e-05,1.1494e+00,-1.0831e-01,-1.0222e-03,2.9280e-01,-1.5045e-02
case4,87481,-1.9014e-04,1.2040e+00,-1.2033e-01,-1.3244e-04,3.0025e-01,-1.1627e-02
case4,90928,-2.3937e-04,1.2580e+00,-1.3275e-01,-1.9372e-04,3.0389e-01,-8.5144e-03
case4,92409,-2.1100e-04,1.2809e+00,-1.3809e-01,-4.4024e-04,3.0537e-01,-7.3853e-03
case4,93913,-1.9741e-04,1.3042e+00,-1.4352e-01,-5.6398e-04,3.0725e-01,-6.3171e-03
case4,95443,-1.8919e-04,1.3278e+00,-1.4899e-01,-7.3946e-04,3.0931e-01,-5.2795e-03
case4,96982,-1.6892e-04,1.3515e+00,-1.5451e-01,-9.3150e-04,3.1158e-01,-4.3335e-03
case4,97765,-1.9181e-04,1.3636e+00,-1.5732e-01,-7.7045e-04,3.1287e-01,-3.9368e-03
case4,98555,-2.0003e-04,1.3757e+00,-1.6016e-01,-5.8025e-04,3.1401e-01,-3.5095e-03
case4,99350,-2.7227e-04,1.3877e+00,-1.6296e-01,-2.1285e-04,3.1509e-01,-2.9907e-03
case4,100170,-4.0805e-04,1.3999e+00,-1.6586e-01,3.6079e-04,3.1590e-01,-2.3499e-03
case4,100980,-5.6946e-04,1.4117e+00,-1.6879e-01,9.6241e-04,3.1619e-01,-1.7090e-03
case4,101790,-5.9021e-04,1.4231e+00,-1.7175e-01,8.7410e-04,3.1593e-01,-1.0681e-03
case4,102482,-6.5243e-04,1.4329e+00,-1.7429e-01,9.0098e-04,3.1578e-01,-5.1880e-04
case4,103173,0.0000e+00,1.4425e+00,-1.7685e-01,0.0000e+00,3.1555e-01,0.0000e+00
case5,10,2.8610e-06,0.0000e+00,1.1472e-01,-5.7220e-05,0.0000e+00,-1.4500e-01
case5,13,3.8147e-06,4.5402e-08,1.1475e-01,-7.8201e-05,0.0000e+00,-1.4500e-01
case5,17,4.7684e-06,1.0524e-07,1.1475e-01,-1.0777e-04,0.0000e+00,-1.4500e-01
case5,22,5.2452e-06,1.8161e-07,1.1475e-01,-1.4305e-04,0.0000e+00,-1.4502e-01
case5,29,6.6757e-06,2.8685e-07,1.1475e-01,-1.6117e-04,0.0000e+00,-1.4500e-01
case5,37,8.5831e-06,4.0978e-07,1.1472e-01,-1.6594e-04,0.0000e+00,-1.4502e-01
case5,48,9.5367e-06,5.7369e-07,1.1475e-01,-1.7357e-04,0.0000e+00,-1.4502e-01
case5,61,1.2398e-05,7.7114e-07,1.1472e-01,-1.7643e-04,0.0000e+00,-1.4502e-01
