Microplastic fibers: 100 MP m-3
Mean net RF (W m-2):,-2.8620e-02
Mean Delta TOA up flux SW (W m-2):,3.2472e-01
Mean Delta TOA up flux LW (W m-2):,-2.9610e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case2,2432,1.5421e-03,1.0444e-03,6.3989e-01,-1.9255e-03,0.0000e+00,-3.2986e-01
case2,3067,1.1079e-03,1.3187e-03,6.4133e-01,-1.7938e-03,0.0000e+00,-3.3130e-01
case2,3875,7.3838e-04,1.6689e-03,6.4274e-01,-1.6057e-03,0.0000e+00,-3.3301e-01
case2,4923,3.9577e-04,2.1250e-03,6.4412e-01,-1.1813e-03,0.0000e+00,-3.3502e-01
case2,6262,2.0635e-04,2.7099e-03,6.4533e-01,-8.0130e-04,0.0000e+00,-3.3691e-01
case2,7986,1.1036e-04,3.4642e-03,6.4650e-01,-5.1348e-04,0.0000e+00,-3.3853e-01
case2,10268,7.1257e-05,4.4656e-03,6.4780e-01,-3.6760e-04,0.0000e+00,-3.3994e-01
case2,13243,6.3449e-05,5.7726e-03,6.4936e-01,-3.4294e-04,0.0000e+00,-3.4122e-01
case2,15610,6.6668e-05,6.8121e-03,6.5058e-01,-3.6719e-04,0.0000e+00,-3.4219e-01
case2,18340,7.8827e-05,8.0118e-03,6.5200e-01,-4.2021e-04,0.0000e+00,-3.4338e-01
case2,21443,1.0806e-04,9.3765e-03,6.5365e-01,-5.2142e-04,0.0000e+00,-3.4491e-01
case2,24934,1.4192e-04,1.0911e-02,6.5563e-01,-6.8998e-04,0.0000e+00,-3.4708e-01
case2,28855,7.2098e-04,1.2634e-02,6.5802e-01,-1.2398e-04,0.0000e+00,-3.5028e-01
case2,30982,6.5619e-04,7.3347e-02,6.3053e-01,-4.9162e-04,2.3445e-02,-3.2718e-01
case2,33234,5.2702e-04,1.3688e-01,6.0158e-01,-4.9973e-04,4.7974e-02,-3.0392e-01
case2,35600,3.2341e-04,2.0229e-01,5.7151e-01,9.5367e-06,7.2350e-02,-2.8094e-01
case2,38110,3.1900e-04,2.6931e-01,5.4042e-01,-5.9485e-04,9.4643e-02,-2.5864e-01
case2,40759,2.0063e-04,3.3930e-01,5.0764e-01,-7.4673e-04,1.1908e-01,-2.3605e-01
case2,43547,1.6361e-04,4.1143e-01,4.7344e-01,-1.0146e-03,1.4382e-01,-2.1381e-01
case2,46490,2.3842e-07,4.8644e-01,4.3745e-01,-8.4078e-04,1.7033e-01,-1.9083e-01
case2,49605,-6.9940e-04,5.6383e-01,3.9965e-01,1.5409e-03,1.9666e-01,-1.6760e-01
case2,52877,-8.4400e-04,6.3887e-01,3.6110e-01,1.9088e-03,2.1169e-01,-1.4661e-01
case2,56319,-1.1716e-03,7.1505e-01,3.2130e-01,2.4786e-03,2.2362e-01,-1.2686e-01
case2,59927,-1.1871e-03,7.9104e-01,2.8044e-01,1.2522e-03,2.3065e-01,-1.0925e-01
case2,63720,-1.1127e-03,8.6909e-01,2.3788e-01,3.8266e-05,2.4219e-01,-9.2072e-02
case2,67688,-1.6747e-03,9.4959e-01,1.9347e-01,1.4293e-03,2.5916e-01,-7.4921e-02
case2,71842,-1.7728e-03,1.0271e+00,1.4777e-01,2.1722e-03,2.6645e-01,-6.0577e-02
case2,76189,-2.0568e-03,1.1046e+00,1.0050e-01,4.4906e-03,2.6855e-01,-4.7272e-02
case2,80743,-1.9488e-03,1.1808e+00,5.1537e-02,4.5240e-03,2.5574e-01,-3.5828e-02
case2,85510,-2.0145e-03,1.2599e+00,4.2725e-04,4.7326e-03,2.4152e-01,-2.4475e-02
case2,90480,-2.0655e-03,1.3407e+00,-5.2933e-02,4.4401e-03,2.2458e-01,-1.3519e-02
case2,93040,-2.1024e-03,1.3819e+00,-8.0521e-02,4.0128e-03,2.1637e-01,-8.2703e-03
case2,95664,-2.1343e-03,1.4238e+00,-1.0888e-01,3.6352e-03,2.0889e-01,-3.2349e-03
case2,97003,-2.1282e-03,1.4450e+00,-1.2340e-01,3.4358e-03,2.0541e-01,-9.7656e-04
case2,97577,0.0000e+00,1.4541e+00,-1.2962e-01,0.0000e+00,2.0401e-01,0.0000e+00
case3,7,1.4114e-04,0.0000e+00,4.5085e-01,-6.6757e-05,0.0000e+00,-3.8907e-01
case3,13,1.6880e-04,2.3441e-06,4.5087e-01,-9.0599e-05,0.0000e+00,-3.8907e-01
case3,22,2.0027e-04,5.8608e-06,4.5087e-01,-1.1683e-04,0.0000e+00,-3.8907e-01
case3,29,2.3270e-04,8.5942e-06,4.5087e-01,-1.4734e-04,0.0000e+00,-3.8910e-01
case3,37,2.7275e-04,1.1720e-05,4.5088e-01,-1.8787e-04,0.0000e+00,-3.8910e-01
case3,48,3.2616e-04,1.6019e-05,4.5088e-01,-2.3460e-04,0.0000e+00,-3.8910e-01
case3,62,3.8528e-04,2.1487e-05,4.5090e-01,-2.8229e-04,0.0000e+00,-3.8910e-01
case3,80,4.5967e-04,2.8521e-05,4.5091e-01,-3.2234e-04,0.0000e+00,-3.8910e-01
case3,102,5.5122e-04,3.7111e-05,4.5094e-01,-3.4237e-04,0.0000e+00,-3.8913e-01
case3,131,6.6376e-04,4.8436e-05,4.5096e-01,-3.5858e-04,0.0000e+00,-3.8913e-01
case3,169,8.1062e-04,6.3285e-05,4.5102e-01,-3.9530e-04,0.0000e+00,-3.8916e-01
case3,220,1.0090e-03,8.3208e-05,4.5108e-01,-4.6730e-04,0.0000e+00,-3.8916e-01
case3,287,1.2674e-03,1.0937e-04,4.5119e-01,-5.9080e-04,0.0000e+00,-3.8919e-01
case3,386,1.5278e-03,1.4803e-04,4.5139e-01,-7.5269e-04,0.0000e+00,-3.8928e-01
case3,505,1.7128e-03,1.9446e-04,4.5164e-01,-9.2101e-04,0.0000e+00,-3.8937e-01
case3,653,1.8110e-03,2.5225e-04,4.5200e-01,-1.1003e-03,0.0000e+00,-3.8953e-01
case3,866,1.8120e-03,3.3540e-04,4.5253e-01,-1.3037e-03,0.0000e+00,-3.8980e-01
case3,1197,1.7476e-03,4.6450e-04,4.5338e-01,-1.4886e-03,0.0000e+00,-3.9032e-01
case3,1502,1.6246e-03,5.8365e-04,4.5412e-01,-1.6187e-03,0.0000e+00,-3.9087e-01
case3,1880,1.4131e-03,7.3135e-04,4.5500e-01,-1.6724e-03,0.0000e+00,-3.9160e-01
case3,2361,1.1744e-03,9.1970e-04,4.5599e-01,-1.6850e-03,0.0000e+00,-3.9255e-01
case3,2972,9.3246e-04,1.1594e-03,4.5709e-01,-1.6613e-03,0.0000e+00,-3.9377e-01
case3,3745,6.6769e-04,1.4639e-03,4.5824e-01,-1.5218e-03,0.0000e+00,-3.9529e-01
case3,4729,4.2272e-04,1.8525e-03,4.5941e-01,-1.2421e-03,0.0000e+00,-3.9706e-01
case3,6023,2.3347e-04,2.3665e-03,4.6059e-01,-8.9448e-04,0.0000e+00,-3.9899e-01
case3,7660,1.3930e-04,3.0189e-03,4.6169e-01,-6.6990e-04,0.0000e+00,-4.0073e-01
case3,9807,1.0762e-04,3.8776e-03,4.6289e-01,-6.1597e-04,0.0000e+00,-4.0240e-01
case3,12555,1.0380e-04,4.9791e-03,4.6434e-01,-6.6565e-04,0.0000e+00,-4.0442e-01
case3,14722,9.8914e-05,5.8479e-03,4.6548e-01,-6.9067e-04,0.0000e+00,-4.0613e-01
case3,17312,8.6606e-05,6.8874e-03,4.6683e-01,-6.3944e-04,0.0000e+00,-4.0823e-01
case3,20268,8.6486e-05,8.0767e-03,4.6832e-01,-6.1589e-04,0.0000e+00,-4.1049e-01
case3,23724,1.1706e-04,9.4681e-03,4.7006e-01,-7.4112e-04,0.0000e+00,-4.1302e-01
case3,27641,8.2588e-04,1.1047e-02,4.7218e-01,1.2059e-03,0.0000e+00,-4.1647e-01
case3,29788,8.2278e-04,8.8448e-02,4.5541e-01,8.9669e-04,2.1034e-02,-3.9236e-01
case3,32017,8.1742e-04,1.6811e-01,4.3796e-01,5.2214e-04,4.2629e-02,-3.6838e-01
case3,34396,8.1098e-04,2.5241e-01,4.1928e-01,1.7405e-04,6.5590e-02,-3.4396e-01
case3,36911,7.9107e-04,3.4056e-01,3.9946e-01,-2.5988e-05,8.9592e-02,-3.1943e-01
case3,39552,7.4649e-04,4.3184e-01,3.7865e-01,-7.4863e-05,1.1397e-01,-2.9517e-01
case3,42354,7.0655e-04,5.2701e-01,3.5658e-01,-1.1706e-04,1.3834e-01,-2.7103e-01
case3,45281,7.0608e-04,6.2456e-01,3.3360e-01,-2.4867e-04,1.6221e-01,-2.4756e-01
case3,48402,7.0226e-04,7.2668e-01,3.0910e-01,-2.9445e-04,1.8639e-01,-2.2430e-01
case3,51659,6.3550e-04,8.3113e-01,2.8354e-01,-2.1911e-04,2.1004e-01,-2.0178e-01
case3,55123,5.2047e-04,9.3980e-01,2.5636e-01,-1.4067e-04,2.3300e-01,-1.7972e-01
case3,58746,4.3321e-04,1.0511e+00,2.2792e-01,-7.6413e-05,2.5484e-01,-1.5851e-01
