Microplastics combined: 100 MP m-3
Mean net RF (W m-2):,-3.9991e-02
Mean Delta TOA up flux SW (W m-2):,2.8359e-01
Mean Delta TOA up flux LW (W m-2):,-2.4360e-01
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case2,1502,1.8899e-03,5.6481e-04,5.5975e-01,-1.4400e-03,0.0000e+00,-2.7075e-01
case2,1928,1.6818e-03,7.2575e-04,5.6087e-01,-1.5872e-03,0.0000e+00,-2.7148e-01
case2,2432,1.3559e-03,9.1636e-04,5.6207e-01,-1.5883e-03,0.0000e+00,-2.7243e-01
case2,3067,9.7418e-04,1.1570e-03,5.6332e-01,-1.4801e-03,0.0000e+00,-2.7362e-01
case2,3875,6.4921e-04,1.4644e-03,5.6457e-01,-1.3254e-03,0.0000e+00,-2.7502e-01
case2,4923,3.4791e-04,1.8644e-03,5.6578e-01,-9.7543e-04,0.0000e+00,-2.7670e-01
case2,6262,1.8132e-04,2.3775e-03,5.6684e-01,-6.6194e-04,0.0000e+00,-2.7826e-01
case2,7986,9.6917e-05,3.0398e-03,5.6787e-01,-4.2427e-04,0.0000e+00,-2.7960e-01
case2,10268,6.2555e-05,3.9182e-03,5.6902e-01,-3.0372e-04,0.0000e+00,-2.8076e-01
case2,13243,5.5641e-05,5.0650e-03,5.7038e-01,-2.8355e-04,0.0000e+00,-2.8183e-01
case2,15610,5.8442e-05,5.9776e-03,5.7145e-01,-3.0395e-04,0.0000e+00,-2.8259e-01
case2,18340,6.9112e-05,7.0295e-03,5.7269e-01,-3.4893e-04,0.0000e+00,-2.8360e-01
case2,21443,9.4831e-05,8.2264e-03,5.7414e-01,-4.3595e-04,0.0000e+00,-2.8488e-01
case2,24934,1.2451e-04,9.5730e-03,5.7588e-01,-5.8126e-04,0.0000e+00,-2.8668e-01
