Microplastics boundary layer: 100 MP m-3
Mean net RF (W m-2):,-3.1625e-02
Mean Delta TOA up flux SW (W m-2):,4.5526e-02
Mean Delta TOA up flux LW (W m-2):,-1.3901e-02
Case,Pressure (Pa),Relative heating rate SW (K day-1),Relative downward diffuse flux SW (W m-2),Relative upward flux SW (W m-2),Relative heating rate LW (K day-1),Relative downward diffuse flux LW (W m-2),Relative upward flux LW (W m-2)
case2,7986,1.5289e-05,5.5313e-04,8.8593e-02,-1.5952e-05,0.0000e+00,-1.0345e-02
case2,10268,8.9705e-06,7.1287e-04,8.8791e-02,-1.0550e-05,0.0000e+00,-1.0406e-02
case2,13243,7.0632e-06,9.2125e-04,8.9035e-02,-8.9705e-06,0.0000e+00,-1.0437e-02
case2,15610,6.7353e-06,1.0872e-03,8.9218e-02,-8.9109e-06,0.0000e+00,-1.0468e-02
case2,18340,6.5863e-06,1.2779e-03,8.9432e-02,-9.1195e-06,0.0000e+00,-1.0498e-02
case2,21443,6.4969e-06,1.4963e-03,8.9668e-02,-9.2983e-06,0.0000e+00,-1.0529e-02
case2,24934,6.4969e-06,1.7414e-03,8.9943e-02,-9.7752e-06,0.0000e+00,-1.0559e-02
case2,28855,6.6757e-06,2.0161e-03,9.0248e-02,-1.0252e-05,0.0000e+00,-1.0620e-02
case2,30982,7.0333e-06,2.1648e-03,9.0416e-02,-1.0729e-05,0.0000e+00,-1.0651e-02
case2,33234,7.7486e-06,2.3232e-03,9.0591e-02,-1.1444e-05,0.0000e+00,-1.0651e-02
case2,35600,1.0014e-05,2.4891e-03,9.0775e-02,-1.4067e-05,0.0000e+00,-1.0681e-02
case2,38110,1.0014e-05,2.6646e-03,9.0981e-02,-1.4067e-05,0.0000e+00,-1.0742e-02
case2,40759,1.1086e-05,2.8515e-03,9.1202e-02,-1.5497e-05,0.0000e+00,-1.0773e-02
case2,43547,1.0788e-05,3.0460e-03,9.1438e-02,-1.5616e-05,0.0000e+00,-1.0834e-02
case2,46490,1.2159e-05,3.2539e-03,9.1682e-02,-1.7524e-05,0.0000e+00,-1.0895e-02
case2,49605,2.2531e-05,3.4714e-03,9.1942e-02,-3.4809e-05,0.0000e+00,-1.0956e-02
case2,52877,3.0160e-05,3.7003e-03,9.2255e-02,-5.1975e-05,0.0000e+00,-1.1108e-02
case2,56319,4.2558e-05,3.9425e-03,9.2621e-02,-8.6069e-05,0.0000e+00,-1.1292e-02
case2,59927,4.8757e-05,4.1943e-03,9.3056e-02,-1.0180e-04,0.0000e+00,-1.1688e-02
