Flux units are Wm-2/cm-1    
    wavn(cm-1) flxtoa_up     flxsfc_dn
     299.5     0.1960593     0.2724245
     300.5     0.1910465     0.2734130
     301.5     0.1725888     0.2744278
     302.5     0.1657778     0.2753878
     303.5     0.1678789     0.2763288
     304.5     0.1856483     0.2772236
     305.5     0.2005279     0.2780300
     306.5     0.2057570     0.2788304
     307.5     0.2154428     0.2795886
     308.5     0.2166599     0.2804525
     309.5     0.2028211     0.2814955
     310.5     0.2230987     0.2820811
     311.5     0.2173862     0.2831809
     312.5     0.2240228     0.2839073
     313.5     0.2164280     0.2849779
     314.5     0.1869148     0.2861686
     315.5     0.1907969     0.2870754
     316.5     0.2203282     0.2876520
     317.5     0.2278710     0.2883320
     318.5     0.2297298     0.2891760
     319.5     0.2286447     0.2901352
     320.5     0.2191548     0.2912604
     321.5     0.2133217     0.2922055
     322.5     0.2013050     0.2932090
     323.5     0.1728266     0.2941782
     324.5     0.1874618     0.2950046
     325.5     0.2047319     0.2957780
     326.5     0.2034264     0.2966680
     327.5     0.1765563     0.2976048
     328.5     0.1901988     0.2984252
     329.5     0.2181782     0.2990935
     330.5     0.2279295     0.2997204
     331.5     0.2316744     0.3004277
     332.5     0.2317898     0.3011880
     333.5     0.2227707     0.3021831
     334.5     0.1883830     0.3032750
     335.5     0.1833307     0.3041081
     336.5     0.2211601     0.3046451
     337.5     0.2347271     0.3051692
     338.5     0.2393880     0.3058868
     339.5     0.2314585     0.3069208
     340.5     0.1951033     0.3081113
     341.5     0.2250081     0.3086387
     342.5     0.2324783     0.3094140
     343.5     0.2133422     0.3104126
     344.5     0.2461761     0.3106504
     345.5     0.2276293     0.3116350
     346.5     0.2431164     0.3122302
     347.5     0.2435340     0.3131046
     348.5     0.2280748     0.3142102
     349.5     0.1957739     0.3151830
     350.5     0.2142083     0.3158905
     351.5     0.1957311     0.3167038
     352.5     0.2093451     0.3174165
     353.5     0.2140637     0.3181589
     354.5     0.1872424     0.3189931
     355.5     0.2276028     0.3195181
     356.5     0.2190904     0.3202360
     357.5     0.1934646     0.3210801
     358.5     0.2126621     0.3217452
     359.5     0.2484545     0.3219283
     360.5     0.2597784     0.3221349
     361.5     0.2602143     0.3227127
     362.5     0.2538770     0.3236077
     363.5     0.2692283     0.3236858
     364.5     0.2721046     0.3241754
     365.5     0.2733603     0.3248183
     366.5     0.2728249     0.3255929
     367.5     0.2664715     0.3266307
     368.5     0.2587387     0.3278916
     369.5     0.2129402     0.3294716
     370.5     0.2214715     0.3300365
     371.5     0.2589261     0.3300252
     372.5     0.2594245     0.3307538
     373.5     0.2461825     0.3318577
     374.5     0.2074756     0.3328957
     375.5     0.2178604     0.3335232
     376.5     0.2190937     0.3341306
     377.5     0.2630095     0.3341131
     378.5     0.2547872     0.3347238
     379.5     0.2780559     0.3344282
     380.5     0.2733178     0.3351296
     381.5     0.2786014     0.3355257
     382.5     0.2747119     0.3364482
     383.5     0.2410584     0.3381744
     384.5     0.2171777     0.3391053
     385.5     0.2084104     0.3397316
     386.5     0.2620847     0.3393722
     387.5     0.2798434     0.3390766
     388.5     0.2860123     0.3392761
     389.5     0.2844452     0.3400299
     390.5     0.2893693     0.3403536
     391.5     0.2871109     0.3412250
     392.5     0.2839369     0.3422939
     393.5     0.2645853     0.3439892
     394.5     0.2304512     0.3451259
     395.5     0.2573360     0.3453500
     396.5     0.2111730     0.3463835
     397.5     0.2034260     0.3469909
     398.5     0.2343233     0.3474221
     399.5     0.2420235     0.3478973
     400.5     0.2333026     0.3484597
     401.5     0.2835309     0.3477102
     402.5     0.2934401     0.3473617
     403.5     0.2978394     0.3474326
     404.5     0.2999057     0.3477494
     405.5     0.2858119     0.3491417
     406.5     0.3032491     0.3484051
     407.5     0.3045544     0.3487677
     408.5     0.3057217     0.3491699
     409.5     0.3051131     0.3497676
     410.5     0.3061525     0.3501706
     411.5     0.3056653     0.3507476
     412.5     0.3045478     0.3514031
     413.5     0.3023058     0.3521674
     414.5     0.2898738     0.3535673
     415.5     0.2892967     0.3543872
     416.5     0.2765047     0.3556377
     417.5     0.2414494     0.3571511
     418.5     0.2076772     0.3579135
     419.5     0.2061868     0.3584240
     420.5     0.2371843     0.3586546
     421.5     0.2767260     0.3582795
     422.5     0.2646524     0.3591297
     423.5     0.2648976     0.3595120
     424.5     0.2934026     0.3589458
     425.5     0.2628556     0.3605180
     426.5     0.2669633     0.3601846
     427.5     0.3074375     0.3585553
     428.5     0.3042038     0.3592319
     429.5     0.3085486     0.3593095
     430.5     0.2847086     0.3612978
     431.5     0.2544866     0.3626839
     432.5     0.3084809     0.3605044
     433.5     0.3144498     0.3604849
     434.5     0.2919976     0.3629336
     435.5     0.3063402     0.3626914
     436.5     0.2767697     0.3648558
     437.5     0.3133189     0.3625187
     438.5     0.3164667     0.3622783
     439.5     0.3130761     0.3629982
     440.5     0.3030797     0.3642885
     441.5     0.2430416     0.3671236
     442.5     0.2490463     0.3674989
     443.5     0.2703869     0.3678435
     444.5     0.3070776     0.3662190
     445.5     0.3156537     0.3656279
     446.5     0.2762962     0.3688526
     447.5     0.3027120     0.3676741
     448.5     0.3228236     0.3657601
     449.5     0.3199066     0.3662799
     450.5     0.3165246     0.3670026
     451.5     0.3052425     0.3687471
     452.5     0.2750195     0.3706433
     453.5     0.2949699     0.3703484
     454.5     0.3108867     0.3691893
     455.5     0.3017926     0.3703872
     456.5     0.2581753     0.3723206
     457.5     0.2189626     0.3733850
     458.5     0.2548772     0.3732368
     459.5     0.2996646     0.3717916
     460.5     0.3104472     0.3711787
     461.5     0.2923207     0.3730350
     462.5     0.3234116     0.3704041
     463.5     0.3203752     0.3706337
     464.5     0.3292198     0.3701591
     465.5     0.3244860     0.3707234
     466.5     0.3135476     0.3722038
     467.5     0.3004011     0.3738490
     468.5     0.2985758     0.3749963
     469.5     0.3179573     0.3730634
     470.5     0.3040885     0.3746910
     471.5     0.2830727     0.3761976
     472.5     0.2061670     0.3778864
     473.5     0.2754092     0.3769500
     474.5     0.3145155     0.3746455
     475.5     0.3250826     0.3737883
     476.5     0.3119845     0.3756923
     477.5     0.3330961     0.3733548
     478.5     0.3339491     0.3734255
     479.5     0.3349961     0.3735542
     480.5     0.3237495     0.3749746
     481.5     0.3200398     0.3756677
     482.5     0.3180593     0.3758301
     483.5     0.2637603     0.3791900
     484.5     0.2665299     0.3793446
     485.5     0.3152463     0.3770727
     486.5     0.3138885     0.3773224
     487.5     0.3348649     0.3751973
     488.5     0.3377208     0.3750861
     489.5     0.3319618     0.3761630
     490.5     0.3339395     0.3760480
     491.5     0.2936817     0.3799682
     492.5     0.2853334     0.3801100
     493.5     0.3326012     0.3769155
     494.5     0.3299780     0.3774634
     495.5     0.3419222     0.3760675
     496.5     0.3423837     0.3761948
     497.5     0.3423117     0.3763570
     498.5     0.3405248     0.3767115
     499.5     0.3329880     0.3776044
     500.5     0.3238455     0.3788453
     501.5     0.2971747     0.3818862
     502.5     0.2543129     0.3834485
     503.5     0.3180641     0.3803390
     504.5     0.3142028     0.3808322
     505.5     0.3224892     0.3797185
     506.5     0.2630045     0.3832150
     507.5     0.2806139     0.3829770
     508.5     0.3273056     0.3794497
     509.5     0.3364186     0.3786138
     510.5     0.3079878     0.3819009
     511.5     0.3250774     0.3795707
     512.5     0.3374144     0.3786643
     513.5     0.3415124     0.3784448
     514.5     0.3271587     0.3807310
     515.5     0.3214804     0.3812407
     516.5     0.2687818     0.3844959
     517.5     0.2610542     0.3851828
     518.5     0.3076620     0.3830927
     519.5     0.2679406     0.3851081
     520.5     0.3178631     0.3817878
     521.5     0.3385153     0.3796502
     522.5     0.3408795     0.3794148
     523.5     0.3372062     0.3798690
     524.5     0.3240735     0.3813387
     525.5     0.2712846     0.3850859
     526.5     0.2813376     0.3848873
     527.5     0.3293620     0.3810039
     528.5     0.3361689     0.3799785
     529.5     0.3445227     0.3792908
     530.5     0.3474581     0.3789205
     531.5     0.3482136     0.3788296
     532.5     0.3460837     0.3790514
     533.5     0.3448525     0.3791251
     534.5     0.3394938     0.3800904
     535.5     0.3285687     0.3809417
     536.5     0.2832195     0.3842615
     537.5     0.3422402     0.3796013
     538.5     0.3475283     0.3789850
     539.5     0.3451865     0.3794521
     540.5     0.3324482     0.3804578
     541.5     0.3140155     0.3816613
     542.5     0.3458351     0.3791313
     543.5     0.3439597     0.3793845
     544.5     0.3155582     0.3814570
     545.5     0.2701343     0.3854584
     546.5     0.2753799     0.3851382
     547.5     0.3034526     0.3836855
     548.5     0.3331185     0.3810118
     549.5     0.3186398     0.3822361
     550.5     0.3128013     0.3827967
     551.5     0.3464400     0.3790466
     552.5     0.3383980     0.3796074
     553.5     0.3452322     0.3790542
     554.5     0.2932746     0.3835385
     555.5     0.3401479     0.3794728
     556.5     0.3463392     0.3786160
