The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  701.15        633.47        174.98        137.40
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP 
    1033.0  0.0005527239  0.0005524192  0.0000119827  0.0000266003
    1034.0  0.0005402908  0.0005399921  0.0000116487  0.0000261082
    1035.0  0.0005277300  0.0005274375  0.0000113687  0.0000256117
    1036.0  0.0005184486  0.0005181604  0.0000112802  0.0000252801
    1037.0  0.0005175075  0.0005172189  0.0000115830  0.0000253655
    1038.0  0.0005292769  0.0005289806  0.0000124363  0.0000260848
    1039.0  0.0005567367  0.0005564237  0.0000139432  0.0000275870
    1040.0  0.0005985250  0.0005981872  0.0000160102  0.0000298028
    1041.0  0.0006490896  0.0006487219  0.0000183843  0.0000324544
    1042.0  0.0006988174  0.0006984204  0.0000206325  0.0000350589
    1043.0  0.0007362757  0.0007358566  0.0000222783  0.0000370420
    1044.0  0.0007526830  0.0007522540  0.0000229549  0.0000379615
    1045.0  0.0007425629  0.0007421396  0.0000224714  0.0000375406
    1046.0  0.0007080245  0.0007076213  0.0000209466  0.0000358837
    1047.0  0.0006545777  0.0006542056  0.0000186575  0.0000332674
    1048.0  0.0005920433  0.0005917075  0.0000160359  0.0000301859
    1049.0  0.0005293038  0.0005290044  0.0000134620  0.0000270890
    1050.0  0.0004739219  0.0004736547  0.0000112387  0.0000243603
    1051.0  0.0004304633  0.0004302212  0.0000095264  0.0000222349
    1052.0  0.0004007228  0.0004004978  0.0000083754  0.0000208077
    1053.0  0.0003848569  0.0003846410  0.0000077597  0.0000200919
    1054.0  0.0003816445  0.0003814301  0.0000076223  0.0000200304
    1055.0  0.0003899669  0.0003897474  0.0000079059  0.0000205722
    1056.0  0.0004083400  0.0004081095  0.0000085685  0.0000216462
    1057.0  0.0004362689  0.0004360217  0.0000096016  0.0000232337
    1058.0  0.0004729181  0.0004726491  0.0000110129  0.0000252964
    1059.0  0.0005184546  0.0005181585  0.0000128401  0.0000278492
    1060.0  0.0005724154  0.0005720871  0.0000151177  0.0000308723
    1061.0  0.0006345506  0.0006341850  0.0000178767  0.0000343567
    1062.0  0.0007040914  0.0007036841  0.0000211297  0.0000382650
    1063.0  0.0007799321  0.0007794789  0.0000248671  0.0000425412
    1064.0  0.0008608950  0.0008603928  0.0000290525  0.0000471242
    1065.0  0.0009452055  0.0009446518  0.0000336166  0.0000519191
    1066.0  0.0010307110  0.0010301050  0.0000384214  0.0000568072
    1067.0  0.0011139900  0.0011133320  0.0000432650  0.0000615991
    1068.0  0.0011912300  0.0011905240  0.0000478765  0.0000660807
    1069.0  0.0012579421  0.0012571950  0.0000519711  0.0000700000
    1070.0  0.0013114760  0.0013106950  0.0000553459  0.0000732074
    1071.0  0.0013505840  0.0013497790  0.0000579141  0.0000756309
    1072.0  0.0013775880  0.0013767660  0.0000597987  0.0000773983
    1073.0  0.0013961440  0.0013953100  0.0000612166  0.0000787117
    1074.0  0.0014112830  0.0014104380  0.0000624764  0.0000798504
    1075.0  0.0014268570  0.0014260010  0.0000637982  0.0000810274
    1076.0  0.0014448190  0.0014439500  0.0000652978  0.0000823490
    1077.0  0.0014653950  0.0014645110  0.0000669603  0.0000838250
    1078.0  0.0014867760  0.0014858770  0.0000686643  0.0000853513
    1079.0  0.0015075729  0.0015066590  0.0000703036  0.0000868489
    1080.0  0.0015260860  0.0015251579  0.0000717746  0.0000882208
    1081.0  0.0015420050  0.0015410651  0.0000730614  0.0000894492
    1082.0  0.0015553660  0.0015544160  0.0000741819  0.0000905363
    1083.0  0.0015664180  0.0015654600  0.0000751678  0.0000914945
    1084.0  0.0015756480  0.0015746830  0.0000760675  0.0000923509
    1085.0  0.0015827520  0.0015817800  0.0000768739  0.0000930858
    1086.0  0.0015880649  0.0015870890  0.0000776190  0.0000937181
    1087.0  0.0015914480  0.0015904680  0.0000782952  0.0000942395
    1088.0  0.0015940850  0.0015931020  0.0000789818  0.0000947208
    1089.0  0.0015972110  0.0015962240  0.0000797559  0.0000952364
    1090.0  0.0016027840  0.0016017910  0.0000807381  0.0000959037
    1091.0  0.0016119500  0.0016109491  0.0000819941  0.0000967896
    1092.0  0.0016244859  0.0016234750  0.0000834770  0.0000978789
    1093.0  0.0016384770  0.0016374540  0.0000850278  0.0000990517
    1094.0  0.0016502120  0.0016491800  0.0000863408  0.0001000793
    1095.0  0.0016561120  0.0016550750  0.0000871379  0.0001007406
    1096.0  0.0016533150  0.0016522791  0.0000871907  0.0001008569
    1097.0  0.0016419720  0.0016409430  0.0000865135  0.0001004318
    1098.0  0.0016242930  0.0016232760  0.0000852861  0.0000995949
    1099.0  0.0016050400  0.0016040350  0.0000838891  0.0000986327
    1100.0  0.0015883390  0.0015873460  0.0000826630  0.0000977933
    1101.0  0.0015775120  0.0015765250  0.0000818787  0.0000972785
    1102.0  0.0015727850  0.0015718010  0.0000815652  0.0000971026
    1103.0  0.0015724890  0.0015715040  0.0000815968  0.0000971663
    1104.0  0.0015742790  0.0015732910  0.0000817808  0.0000973308
    1105.0  0.0015757820  0.0015747920  0.0000819327  0.0000974568
    1106.0  0.0015769160  0.0015759240  0.0000820299  0.0000975457
    1107.0  0.0015781890  0.0015771950  0.0000821185  0.0000976342
    1108.0  0.0015812879  0.0015802910  0.0000823298  0.0000978305
    1109.0  0.0015880030  0.0015869990  0.0000828121  0.0000982483
    1110.0  0.0015991750  0.0015981620  0.0000836403  0.0000989404
    1111.0  0.0016154810  0.0016144550  0.0000848637  0.0000999496
    1112.0  0.0016356470  0.0016346050  0.0000863848  0.0001011976
    1113.0  0.0016571740  0.0016561151  0.0000880027  0.0001025293
    1114.0  0.0016761289  0.0016750550  0.0000894140  0.0001037020
    1115.0  0.0016880480  0.0016869640  0.0000902825  0.0001044395
    1116.0  0.0016897030  0.0016886170  0.0000903737  0.0001045420
    1117.0  0.0016807340  0.0016796530  0.0000896714  0.0001039871
    1118.0  0.0016636770  0.0016626060  0.0000883840  0.0001029318
    1119.0  0.0016449440  0.0016438850  0.0000869834  0.0001017727
    1120.0  0.0016311470  0.0016300960  0.0000859707  0.0001009191
    1121.0  0.0016288740  0.0016278230  0.0000858103  0.0001007786
    1122.0  0.0016406880  0.0016396260  0.0000866939  0.0001015094
    1123.0  0.0016656510  0.0016645690  0.0000885364  0.0001030537
    1124.0  0.0016990440  0.0016979370  0.0000909864  0.0001051196
    1125.0  0.0017342740  0.0017331410  0.0000935515  0.0001072993
    1126.0  0.0017649470  0.0017637900  0.0000957418  0.0001091972
    1127.0  0.0017853860  0.0017842141  0.0000971341  0.0001104617
    1128.0  0.0017919570  0.0017907789  0.0000974453  0.0001108683
    1129.0  0.0017816130  0.0017804420  0.0000964647  0.0001102284
    1130.0  0.0017532120  0.0017520600  0.0000941301  0.0001084712
    1131.0  0.0017068241  0.0017057060  0.0000904789  0.0001056013
    1132.0  0.0016459280  0.0016448530  0.0000858074  0.0001018335
    1133.0  0.0015775720  0.0015765449  0.0000806360  0.0000976044
    1134.0  0.0015126190  0.0015116381  0.0000757653  0.0000935857
    1135.0  0.0014632990  0.0014623520  0.0000720466  0.0000905342
    1136.0  0.0014403810  0.0014394500  0.0000702426  0.0000891164
    1137.0  0.0014487370  0.0014477980  0.0000706791  0.0000896333
    1138.0  0.0014869370  0.0014859691  0.0000732537  0.0000919968
    1139.0  0.0015459120  0.0015449011  0.0000773258  0.0000956455
    1140.0  0.0016138949  0.0016128341  0.0000820598  0.0000998517
    1141.0  0.0016778740  0.0016767650  0.0000865301  0.0001038100
    1142.0  0.0017280320  0.0017268860  0.0000900161  0.0001069132
    1143.0  0.0017580970  0.0017569280  0.0000920508  0.0001087736
    1144.0  0.0017652510  0.0017640750  0.0000924007  0.0001092160
    1145.0  0.0017505890  0.0017494221  0.0000911314  0.0001083089
    1146.0  0.0017165530  0.0017154110  0.0000884103  0.0001062030
    1147.0  0.0016699471  0.0016688390  0.0000847405  0.0001033197
    1148.0  0.0016177280  0.0016166570  0.0000806467  0.0001000888
    1149.0  0.0015706820  0.0015696440  0.0000769345  0.0000971780
    1150.0  0.0015371219  0.0015361080  0.0000742375  0.0000951017
    1151.0  0.0015248950  0.0015238890  0.0000731442  0.0000943453
    1152.0  0.0015364030  0.0015353870  0.0000738457  0.0000950571
    1153.0  0.0015695270  0.0015684851  0.0000761976  0.0000971066
    1154.0  0.0016181479  0.0016170690  0.0000797434  0.0001001150
    1155.0  0.0016727750  0.0016716530  0.0000837856  0.0001034945
    1156.0  0.0017247630  0.0017236010  0.0000876610  0.0001067109
    1157.0  0.0017657770  0.0017645820  0.0000907453  0.0001092487
    1158.0  0.0017908050  0.0017895900  0.0000926505  0.0001107970
    1159.0  0.0017968920  0.0017956709  0.0000931574  0.0001111736
    1160.0  0.0017840239  0.0017828119  0.0000922799  0.0001103776
    1161.0  0.0017549550  0.0017537629  0.0000902282  0.0001085791
