Flux units are Wm-2/cm-1
    wavn(cm-1) flxtoa_up     flxsfc_dn
     289.5     0.1680788     0.2816419
     290.5     0.1906771     0.2827332
     291.5     0.2202193     0.2837399
     292.5     0.2314755     0.2846530
     293.5     0.2361849     0.2855884
     294.5     0.2377963     0.2866149
     295.5     0.2295208     0.2878067
     296.5     0.2391846     0.2887886
     297.5     0.2352057     0.2900228
     298.5     0.2074731     0.2912541
     299.5     0.2235443     0.2922524
     300.5     0.2177623     0.2933037
     301.5     0.1893087     0.2943664
     302.5     0.1779552     0.2953989
     303.5     0.1803977     0.2964209
     304.5     0.2102367     0.2974242
     305.5     0.2297335     0.2983924
     306.5     0.2355001     0.2993282
     307.5     0.2465378     0.3001848
     308.5     0.2476681     0.3011659
     309.5     0.2318563     0.3023403
     310.5     0.2548473     0.3029416
     311.5     0.2469283     0.3042664
     312.5     0.2558797     0.3050565
     313.5     0.2484168     0.3063263
     314.5     0.2100358     0.3076275
     315.5     0.2141620     0.3086618
     316.5     0.2528338     0.3093280
     317.5     0.2606883     0.3099698
     318.5     0.2627324     0.3108597
     319.5     0.2618311     0.3119518
     320.5     0.2512442     0.3133439
     321.5     0.2462279     0.3144321
     322.5     0.2322355     0.3155350
     323.5     0.1835652     0.3165664
     324.5     0.2113216     0.3174867
     325.5     0.2357215     0.3183779
     326.5     0.2334424     0.3193340
     327.5     0.1908549     0.3203150
     328.5     0.2128250     0.3212328
     329.5     0.2513894     0.3220572
     330.5     0.2621140     0.3228086
     331.5     0.2660761     0.3236131
     332.5     0.2672626     0.3244558
     333.5     0.2584656     0.3256475
     334.5     0.2117376     0.3268377
     335.5     0.2016006     0.3277910
     336.5     0.2569130     0.3285084
     337.5     0.2709247     0.3290684
     338.5     0.2751644     0.3298930
     339.5     0.2672064     0.3311478
     340.5     0.2198399     0.3324162
     341.5     0.2596210     0.3330663
     342.5     0.2672252     0.3339334
     343.5     0.2421641     0.3350048
     344.5     0.2819755     0.3352017
     345.5     0.2617416     0.3363251
     346.5     0.2802511     0.3370223
     347.5     0.2794836     0.3381287
     348.5     0.2628786     0.3393914
     349.5     0.2185542     0.3403687
     350.5     0.2461947     0.3411831
     351.5     0.2177417     0.3420539
     352.5     0.2392421     0.3428713
     353.5     0.2460452     0.3437041
     354.5     0.2053219     0.3445914
     355.5     0.2635939     0.3453257
     356.5     0.2552540     0.3461668
     357.5     0.2165138     0.3470951
     358.5     0.2428561     0.3479175
     359.5     0.2865277     0.3482191
     360.5     0.2981225     0.3482462
     361.5     0.2986164     0.3488592
     362.5     0.2916942     0.3499922
     363.5     0.3074138     0.3496716
     364.5     0.3101886     0.3500106
     365.5     0.3114867     0.3506526
     366.5     0.3112707     0.3516009
     367.5     0.3060088     0.3530788
     368.5     0.2987943     0.3549055
     369.5     0.2435827     0.3568518
     370.5     0.2559432     0.3575082
     371.5     0.2993417     0.3574399
     372.5     0.2987118     0.3583744
     373.5     0.2843996     0.3597181
     374.5     0.2346721     0.3607668
     375.5     0.2493888     0.3614927
     376.5     0.2490384     0.3622037
     377.5     0.3020510     0.3622186
     378.5     0.2939830     0.3628187
     379.5     0.3176320     0.3619444
     380.5     0.3136115     0.3628649
     381.5     0.3188448     0.3631843
     382.5     0.3155493     0.3645322
     383.5     0.2780139     0.3669930
     384.5     0.2496341     0.3681057
     385.5     0.2406738     0.3688468
     386.5     0.3061045     0.3682595
     387.5     0.3218926     0.3673497
     388.5     0.3267353     0.3672361
     389.5     0.3246873     0.3682427
     390.5     0.3294192     0.3683714
     391.5     0.3274702     0.3697271
     392.5     0.3245837     0.3714465
     393.5     0.3049650     0.3738990
     394.5     0.2647929     0.3751850
     395.5     0.3001847     0.3755189
     396.5     0.2432335     0.3766266
     397.5     0.2293097     0.3773069
     398.5     0.2701354     0.3778792
     399.5     0.2806274     0.3784637
     400.5     0.2679055     0.3790786
     401.5     0.3248256     0.3779729
     402.5     0.3343704     0.3768142
     403.5     0.3381344     0.3762279
     404.5     0.3398779     0.3762039
     405.5     0.3274780     0.3788516
     406.5     0.3426684     0.3762370
     407.5     0.3437214     0.3763617
     408.5     0.3447487     0.3765503
     409.5     0.3444526     0.3777301
     410.5     0.3455886     0.3778590
     411.5     0.3455845     0.3788451
     412.5     0.3451516     0.3801234
     413.5     0.3439165     0.3816130
     414.5     0.3334946     0.3844072
     415.5     0.3337098     0.3857453
     416.5     0.3223278     0.3876684
     417.5     0.2806022     0.3896111
     418.5     0.2377232     0.3903991
     419.5     0.2343149     0.3909890
     420.5     0.2801853     0.3913766
     421.5     0.3231581     0.3908862
     422.5     0.3058986     0.3919834
     423.5     0.3060178     0.3924187
     424.5     0.3370216     0.3915082
     425.5     0.3044322     0.3936093
     426.5     0.3131613     0.3927619
     427.5     0.3503817     0.3888104
     428.5     0.3470239     0.3898289
     429.5     0.3517135     0.3893994
     430.5     0.3329964     0.3936271
     431.5     0.2983825     0.3959031
     432.5     0.3524148     0.3908631
     433.5     0.3557886     0.3901441
     434.5     0.3336934     0.3960249
     435.5     0.3491834     0.3957877
     436.5     0.3178619     0.3991291
     437.5     0.3553198     0.3940980
     438.5     0.3581025     0.3918960
     439.5     0.3562279     0.3936689
     440.5     0.3502316     0.3966853
     441.5     0.2873926     0.4017471
     442.5     0.2926621     0.4022592
     443.5     0.3135850     0.4027775
     444.5     0.3513715     0.3998513
     445.5     0.3583916     0.3979708
     446.5     0.3180564     0.4040635
     447.5     0.3457922     0.4017715
     448.5     0.3633405     0.3952916
     449.5     0.3617122     0.3966555
     450.5     0.3594402     0.3985943
     451.5     0.3485766     0.4027146
     452.5     0.3180484     0.4060734
     453.5     0.3411476     0.4055205
     454.5     0.3568721     0.4029501
     455.5     0.3496714     0.4053592
     456.5     0.3042797     0.4082715
     457.5     0.2550373     0.4096434
     458.5     0.3016733     0.4096075
     459.5     0.3487978     0.4073309
     460.5     0.3573255     0.4060584
     461.5     0.3362509     0.4093868
     462.5     0.3661742     0.4024528
     463.5     0.3642225     0.4021804
     464.5     0.3700483     0.3975852
     465.5     0.3673490     0.3996025
     466.5     0.3587185     0.4053250
     467.5     0.3445457     0.4096485
     468.5     0.3434539     0.4120425
     469.5     0.3637800     0.4075304
     470.5     0.3521293     0.4108621
     471.5     0.3346972     0.4132975
     472.5     0.2396271     0.4154720
     473.5     0.3277545     0.4143320
     474.5     0.3629040     0.4095183
     475.5     0.3695188     0.4061269
     476.5     0.3558229     0.4112239
     477.5     0.3743842     0.3993297
     478.5     0.3751378     0.3974161
     479.5     0.3760687     0.3960252
     480.5     0.3686194     0.4067268
     481.5     0.3645125     0.4087922
     482.5     0.3668333     0.4097768
     483.5     0.3136485     0.4172474
     484.5     0.3178034     0.4174984
     485.5     0.3646910     0.4132060
     486.5     0.3582552     0.4119075
     487.5     0.3767881     0.4005089
     488.5     0.3789758     0.3956090
     489.5     0.3739966     0.4044983
     490.5     0.3763654     0.4044600
     491.5     0.3418988     0.4182128
     492.5     0.3331394     0.4183104
     493.5     0.3757361     0.4081457
     494.5     0.3722903     0.4047105
     495.5     0.3830372     0.3886031
     496.5     0.3836021     0.3870511
     497.5     0.3836010     0.3877446
     498.5     0.3818839     0.3942764
     499.5     0.3767426     0.4049208
     500.5     0.3709842     0.4133305
     501.5     0.3476420     0.4211531
     502.5     0.3009245     0.4234629
     503.5     0.3675904     0.4179875
     504.5     0.3617950     0.4188216
     505.5     0.3716294     0.4154357
     506.5     0.3128684     0.4230754
     507.5     0.3348969     0.4229420
     508.5     0.3746417     0.4129579
     509.5     0.3798367     0.4064224
     510.5     0.3549981     0.4206547
     511.5     0.3726963     0.4126072
     512.5     0.3811998     0.4008842
     513.5     0.3838110     0.3974233
     514.5     0.3717510     0.4169475
     515.5     0.3692580     0.4192420
     516.5     0.3175286     0.4256358
     517.5     0.3119964     0.4267426
     518.5     0.3600923     0.4235419
     519.5     0.3178788     0.4266567
     520.5     0.3676625     0.4194319
     521.5     0.3815417     0.4062286
     522.5     0.3833342     0.4011359
     523.5     0.3812642     0.4069694
     524.5     0.3729886     0.4177003
     525.5     0.3214252     0.4264311
     526.5     0.3340822     0.4261511
     527.5     0.3763720     0.4148898
     528.5     0.3808222     0.4046871
     529.5     0.3879700     0.3878764
     530.5     0.3916415     0.3706484
     531.5     0.3931040     0.3649251
     532.5     0.3911219     0.3747449
     533.5     0.3890373     0.3800207
     534.5     0.3831547     0.3976018
     535.5     0.3774345     0.4090136
     536.5     0.3367390     0.4253116
     537.5     0.3870279     0.3918055
     538.5     0.3929326     0.3679848
     539.5     0.3900625     0.3764311
     540.5     0.3811911     0.3980516
     541.5     0.3642892     0.4072331
     542.5     0.3916697     0.3747017
     543.5     0.3890491     0.3851905
     544.5     0.3582207     0.4158235
     545.5     0.3240435     0.4282155
     546.5     0.3288667     0.4273594
     547.5     0.3540687     0.4241404
     548.5     0.3787948     0.4112729
     549.5     0.3663831     0.4167988
     550.5     0.3604120     0.4189938
     551.5     0.3912224     0.3736511
     552.5     0.3851087     0.3851788
     553.5     0.3912222     0.3742360
     554.5     0.3470070     0.4229215
     555.5     0.3867137     0.3874333
     556.5     0.3929467     0.3613415
     557.5     0.3795205     0.3936276
     558.5     0.3971840     0.3419322
     559.5     0.3962219     0.3402965
     560.5     0.3940346     0.3516096
     561.5     0.3972200     0.3388723
     562.5     0.3801476     0.3853920
     563.5     0.3480780     0.4171810
     564.5     0.3835899     0.3808372
     565.5     0.3841123     0.3784240
     566.5     0.3646092     0.4157566
     567.5     0.3207042     0.4272073
     568.5     0.3608700     0.4215457
     569.5     0.3172719     0.4279094
     570.5     0.3725127     0.4097691
     571.5     0.3567905     0.4139751
     572.5     0.3744428     0.3695883
     573.5     0.3767125     0.3657670
     574.5     0.3634181     0.3950671
     575.5     0.3507808     0.4219902
     576.5     0.3192151     0.4262803
     577.5     0.3503867     0.4021098
     578.5     0.3706176     0.3801444
     579.5     0.3405452     0.4026404
     580.5     0.3077249     0.4280258
     581.5     0.3317633     0.4177493
     582.5     0.3320531     0.3955165
     583.5     0.3721393     0.3727655
     584.5     0.3096192     0.4236017
     585.5     0.3276783     0.4038523
     586.5     0.3664841     0.3676587
     587.5     0.3220142     0.3795580
     588.5     0.3042540     0.3760364
     589.5     0.2475517     0.4000707
     590.5     0.2935227     0.4134828
     591.5     0.2859716     0.4280907
     592.5     0.2992451     0.4233877
     593.5     0.2861999     0.4120475
     594.5     0.3165659     0.4153275
     595.5     0.2698254     0.4128131
     596.5     0.2403430     0.4094543
     597.5     0.2775452     0.3966777
     598.5     0.2622839     0.4046261
     599.5     0.2857989     0.4084324
     600.5     0.2918517     0.4164029
     601.5     0.2496436     0.4069258
     602.5     0.3001925     0.3823361
     603.5     0.2637478     0.3992371
     604.5     0.2390619     0.4182152
     605.5     0.2962688     0.3852230
     606.5     0.2457217     0.3997000
     607.5     0.2358020     0.4004276
     608.5     0.2810948     0.3911155
     609.5     0.2388877     0.4040111
     610.5     0.2610394     0.3969393
     611.5     0.2616720     0.3942184
     612.5     0.2388850     0.4114105
     613.5     0.2732216     0.4052855
     614.5     0.2372505     0.4112521
     615.5     0.2344872     0.4177491
     616.5     0.1793546     0.4249311
     617.5     0.1847510     0.4268414
     618.5     0.2277581     0.4097113
     619.5     0.2404410     0.4034172
     620.5     0.2594286     0.4141980
     621.5     0.2680376     0.3922830
     622.5     0.1974690     0.4113296
     623.5     0.2368483     0.4032948
     624.5     0.2213225     0.4159365
     625.5     0.1736348     0.4231269
     626.5     0.2007454     0.4176717
     627.5     0.1881233     0.4148545
     628.5     0.1740376     0.4155925
     629.5     0.1747963     0.4168869
     630.5     0.1661921     0.4177392
     631.5     0.1689804     0.4161343
     632.5     0.1575211     0.4210888
     633.5     0.1591863     0.4219745
     634.5     0.1589980     0.4179696
     635.5     0.1528391     0.4217310
     636.5     0.1547113     0.4204245
     637.5     0.1488073     0.4195088
     638.5     0.1520137     0.4213848
     639.5     0.1524289     0.4205181
     640.5     0.1453195     0.4193020
     641.5     0.1511216     0.4209805
     642.5     0.1512424     0.4205512
     643.5     0.1438081     0.4192242
     644.5     0.1542409     0.4210603
     645.5     0.1538952     0.4199954
     646.5     0.1384335     0.4191423
     647.5     0.1655599     0.4209224
     648.5     0.1768478     0.4203488
     649.5     0.1657555     0.4201111
     650.5     0.1670223     0.4203424
     651.5     0.1546590     0.4193559
     652.5     0.1482842     0.4189838
     653.5     0.1649529     0.4197291
     654.5     0.1499061     0.4185901
     655.5     0.1537787     0.4184990
     656.5     0.1632357     0.4190055
     657.5     0.1470982     0.4178683
     658.5     0.1576249     0.4179972
     659.5     0.1615958     0.4183569
     660.5     0.1421325     0.4168766
     661.5     0.1579436     0.4171967
     662.5     0.1754711     0.4171665
     663.5     0.1581631     0.4160036
     664.5     0.1620082     0.4162077
     665.5     0.1580332     0.4154895
     666.5     0.1464349     0.4160289
     667.5     0.2345782     0.4167134
     668.5     0.2322768     0.4164256
     669.5     0.1913647     0.4160538
     670.5     0.1540929     0.4152445
     671.5     0.1605351     0.4148490
     672.5     0.1569811     0.4142694
     673.5     0.1426467     0.4135749
     674.5     0.1641819     0.4142496
     675.5     0.1451195     0.4131748
     676.5     0.1514390     0.4130072
     677.5     0.1620671     0.4133223
     678.5     0.1385917     0.4122582
     679.5     0.1574080     0.4124292
     680.5     0.1566282     0.4121293
     681.5     0.1357009     0.4111648
     682.5     0.1589525     0.4117896
     683.5     0.1457464     0.4107099
     684.5     0.1389101     0.4102809
     685.5     0.1536481     0.4107758
     686.5     0.1269515     0.4091833
     687.5     0.1480789     0.4101700
     688.5     0.1460061     0.4094552
     689.5     0.1313490     0.4082160
     690.5     0.1462469     0.4089395
     691.5     0.1344873     0.4070207
     692.5     0.1349408     0.4064660
     693.5     0.1374694     0.4075428
     694.5     0.1271822     0.4052677
     695.5     0.1403156     0.4058942
     696.5     0.1347407     0.4055876
     697.5     0.1349317     0.4040880
     698.5     0.1328287     0.4051566
     699.5     0.1366155     0.4009180
     700.5     0.1393696     0.4019081
     701.5     0.1368892     0.4016036
     702.5     0.1453937     0.3982923
     703.5     0.1458969     0.4011841
     704.5     0.1505764     0.3981781
     705.5     0.1525743     0.4006682
     706.5     0.1624438     0.3956548
     707.5     0.1699828     0.3950174
     708.5     0.1592610     0.3939498
     709.5     0.1683331     0.3910244
     710.5     0.1790356     0.3869559
     711.5     0.1836367     0.3868204
     712.5     0.1957540     0.3798224
     713.5     0.1698527     0.3943664
     714.5     0.2181414     0.3737355
     715.5     0.2073011     0.3668794
     716.5     0.1920031     0.3772966
     717.5     0.2285640     0.3650376
     718.5     0.1545886     0.3894079
     719.5     0.1331765     0.3958275
     720.5     0.1503466     0.3980072
     721.5     0.1936446     0.3710577
     722.5     0.2450998     0.3348282
     723.5     0.2331984     0.3384568
     724.5     0.2805242     0.3122641
     725.5     0.2225159     0.3497712
     726.5     0.2545244     0.3279376
     727.5     0.2476727     0.3301132
     728.5     0.2018389     0.3653206
     729.5     0.2445302     0.3701998
     730.5     0.2116361     0.3777793
     731.5     0.2049603     0.3722032
     732.5     0.2606465     0.3296637
     733.5     0.2096816     0.3532553
     734.5     0.2140576     0.3514034
     735.5     0.2657668     0.3233911
     736.5     0.2055839     0.3531077
     737.5     0.2189298     0.3472295
     738.5     0.2697956     0.3229900
     739.5     0.2135105     0.3563732
     740.5     0.2098474     0.3705517
     741.5     0.1885005     0.3685718
     742.5     0.2310409     0.3475468
     743.5     0.2512997     0.3191544
     744.5     0.2856883     0.3578708
     745.5     0.2533988     0.3220173
     746.5     0.2725667     0.2945266
     747.5     0.3209457     0.2569102
     748.5     0.2638884     0.3254039
     749.5     0.2857622     0.2795045
     750.5     0.3313532     0.2211695
     751.5     0.2797041     0.2908877
     752.5     0.2885174     0.3110594
     753.5     0.3305805     0.2668128
     754.5     0.2767017     0.3419692
     755.5     0.3153976     0.2576266
     756.5     0.3491692     0.2012632
     757.5     0.3088697     0.2390027
     758.5     0.3449948     0.1923597
     759.5     0.3736399     0.1423832
     760.5     0.3358013     0.2081791
     761.5     0.3500977     0.1816935
     762.5     0.3892134     0.1147714
     763.5     0.3545263     0.1669120
     764.5     0.3620292     0.1541529
     765.5     0.3910280     0.1065132
     766.5     0.3665305     0.1491169
     767.5     0.3640726     0.1662989
     768.5     0.3682206     0.1727757
     769.5     0.3624184     0.1883219
     770.5     0.3631338     0.1826705
     771.5     0.3780090     0.1200814
     772.5     0.3838970     0.1135493
     773.5     0.3895075     0.1005957
     774.5     0.3792606     0.1217745
     775.5     0.3461192     0.2399395
     776.5     0.3580163     0.2090625
     777.5     0.3593571     0.1924661
     778.5     0.3788624     0.1206871
     779.5     0.3624194     0.1933372
     780.5     0.3846281     0.1031733
     781.5     0.3895314     0.0911818
     782.5     0.3848531     0.1013150
     783.5     0.3745927     0.1388758
     784.5     0.3244813     0.2961411
     785.5     0.3766070     0.1267351
     786.5     0.3868784     0.0937679
     787.5     0.3905858     0.0855049
     788.5     0.3892142     0.0835874
     789.5     0.3896733     0.0809527
     790.5     0.3890284     0.0820246
     791.5     0.3026790     0.2111422
     792.5     0.3445503     0.1641485
     793.5     0.3511328     0.1917041
     794.5     0.3666239     0.1542687
     795.5     0.3293774     0.2468713
     796.5     0.3471169     0.2067697
     797.5     0.3513378     0.1998320
     798.5     0.3064558     0.3101542
     799.5     0.3590378     0.1690725
     800.5     0.3777733     0.0962626
     801.5     0.3767491     0.0953426
     802.5     0.3699884     0.1318029
     803.5     0.3307824     0.2472011
     804.5     0.3745759     0.0988659
     805.5     0.3818602     0.0866364
     806.5     0.3723603     0.1048054
     807.5     0.3725822     0.1032406
     808.5     0.3507835     0.1835832
     809.5     0.3775982     0.0828306
     810.5     0.3798667     0.0760216
     811.5     0.3843501     0.0676268
     812.5     0.3785103     0.0774809
     813.5     0.3599714     0.1453341
     814.5     0.3481094     0.1808658
     815.5     0.3772380     0.0801786
     816.5     0.3822273     0.0673549
     817.5     0.3801233     0.0676059
     818.5     0.3804016     0.0660032
     819.5     0.3827077     0.0603428
     820.5     0.3802033     0.0638758
     821.5     0.3803646     0.0624367
     822.5     0.3808160     0.0614705
     823.5     0.3797469     0.0617438
     824.5     0.3771851     0.0694546
