"lambda","Cabs","Csca","g"
1.66e-06,1.33996003565284e-10,1.90025541594933e-08,0.870048840516626
1.68e-06,1.39365771043918e-10,1.89971733396109e-08,0.87009490261512
1.7e-06,1.44882669642909e-10,1.89916678730057e-08,0.870142411449401
1.72e-06,1.50547304311523e-10,1.89859809809899e-08,0.870189704244644
1.74e-06,1.56362148542223e-10,1.89801781386847e-08,0.870238329949108
1.76e-06,1.62327330424907e-10,1.89742172736205e-08,0.870287201006437
1.78e-06,1.68444891708634e-10,1.89681129484216e-08,0.870337639710396
1.8e-06,1.74715575315303e-10,1.89618394166958e-08,0.87038872186906
1.82e-06,1.81140839075216e-10,1.89554049196671e-08,0.87044047549087
1.84e-06,1.87721072047701e-10,1.89488314826168e-08,0.870493240714522
1.86e-06,1.94457821616128e-10,1.89420866818398e-08,0.870546617128717
1.88e-06,2.013523364496e-10,1.89352110092404e-08,0.870601105343029
1.9e-06,2.08404093834698e-10,1.89281425621619e-08,0.870656561395535
1.92e-06,2.15615602488752e-10,1.89209314364002e-08,0.870712670038751
1.94e-06,2.22986146374452e-10,1.89135711405191e-08,0.870770108037962
1.96e-06,2.30517207801133e-10,1.89060278620374e-08,0.870828226810322
1.98e-06,2.38209057867134e-10,1.88983221284026e-08,0.87088753372951
2e-06,2.4606237528924e-10,1.88904648240896e-08,0.870947856625449
2.02e-06,2.54078106529088e-10,1.88824728527399e-08,0.871009174312859
2.04e-06,2.62255474603315e-10,1.88742925570045e-08,0.87107146445082
2.06e-06,2.70596063034015e-10,1.88659629393556e-08,0.871134739816446
2.08e-06,2.79099525352459e-10,1.88574338808774e-08,0.871199266613102
2.1e-06,2.87766184027724e-10,1.88487978881485e-08,0.871264701219186
2.12e-06,2.96596269443779e-10,1.88399744686921e-08,0.871330976678428
2.14e-06,3.05589112697802e-10,1.88309398817502e-08,0.871398511544115
2.16e-06,3.14746231800264e-10,1.88217954816364e-08,0.871467135839203
2.18e-06,3.2406643814417e-10,1.88124654638554e-08,0.87153702837417
2.2e-06,3.33550019458297e-10,1.88029887362681e-08,0.871608112006573
2.22e-06,3.43196925498159e-10,1.87933554097195e-08,0.871680007568548
2.24e-06,3.53006418212377e-10,1.87835233320725e-08,0.871753271444139
2.26e-06,3.6297919489323e-10,1.87735734907347e-08,0.871827400710232
2.28e-06,3.73113956423042e-10,1.87634367919488e-08,0.871902505689705
2.3e-06,3.83410572518853e-10,1.87531173380246e-08,0.87197892561688
2.32e-06,3.93868912260055e-10,1.8742671302657e-08,0.872056702618439
2.34e-06,4.04488114628169e-10,1.87320623084443e-08,0.872135645740941
2.36e-06,4.15267807090309e-10,1.87212938282568e-08,0.872215310134189
2.38e-06,4.26207131427052e-10,1.87103509819735e-08,0.872296406842494
2.4e-06,4.37305718701627e-10,1.86992419417731e-08,0.872378402064437
2.42e-06,4.48562993536092e-10,1.86879862953982e-08,0.872461638929866
2.44e-06,4.59977065438392e-10,1.86765834612908e-08,0.872545727885878
2.46e-06,4.71548608005614e-10,1.86649914807384e-08,0.872631842467685
2.48e-06,4.8327546981732e-10,1.86532744218376e-08,0.872718471172061
2.5e-06,4.95157291543541e-10,1.8641379399208e-08,0.87280654951845
