"Wavelength (um)","Refractive index","Refractive index (calculated)","Extinction coefficient"
4.3644,1.51732,1.511116679,0.00203
4.3791,1.51693,1.510939789,0.00209
4.394,1.51673,1.51071502,0.00199
4.4089,1.51627,1.510432781,0.00189
4.424,1.51561,1.51006986,0.0018
4.4391,1.5153,1.509660066,0.00172
4.4544,1.51524,1.509200957,0.00179
4.4697,1.51513,1.508839701,0.00199
4.4852,1.51475,1.508607373,0.0022
4.5008,1.51422,1.508436618,0.00212
4.5165,1.51373,1.508124683,0.00184
4.5323,1.51333,1.507652932,0.00165
4.5482,1.51285,1.507059712,0.00151
4.5642,1.51232,1.506444371,0.00167
4.5803,1.51171,1.505991594,0.002
4.5965,1.5112,1.505654475,0.00211
4.6129,1.51071,1.505266619,0.00211
4.6294,1.51029,1.504808877,0.0021
4.646,1.50998,1.504306289,0.00219
4.6627,1.50967,1.503861157,0.00242
4.6795,1.50905,1.503536475,0.00262
4.6965,1.50859,1.503200551,0.00257
4.7136,1.50843,1.502743967,0.00247
4.7308,1.50797,1.502302854,0.00265
4.7481,1.50752,1.501927731,0.00261
4.7655,1.50711,1.501445686,0.00245
4.7831,1.50637,1.500945162,0.00255
4.8008,1.50567,1.500549601,0.00249
4.8187,1.50559,1.49998298,0.00205
4.8367,1.50562,1.499172334,0.0018
4.8548,1.50488,1.498372805,0.00191
4.873,1.50377,1.497615321,0.00182
4.8914,1.50272,1.496748323,0.00176
4.91,1.50168,1.495887179,0.00191
4.9286,1.50075,1.495045859,0.00187
4.9474,1.49966,1.494011807,0.00179
4.9664,1.49883,1.492928822,0.00213
4.9855,1.49798,1.49200779,0.00257
5.0047,1.4971,1.49119684,0.0029
5.0241,1.49666,1.49039656,0.00314
5.0437,1.49565,1.489556931,0.00327
5.0634,1.49399,1.488555166,0.00323
5.0832,1.49276,1.487387792,0.00349
5.1033,1.49199,1.486414574,0.00434
5.1234,1.49154,1.485911425,0.0049
5.1438,1.49104,1.485406122,0.00474
5.1643,1.49026,1.48459731,0.00411
5.1849,1.4892,1.483336139,0.00343
5.2057,1.48773,1.48170585,0.00297
5.2267,1.48603,1.479916301,0.00283
5.2479,1.48428,1.478110825,0.00281
5.2692,1.48241,1.476146845,0.00249
5.2907,1.48041,1.47383651,0.00231
5.3124,1.47834,1.471384622,0.00252
5.3343,1.47578,1.468807578,0.00259
5.3563,1.47264,1.465974716,0.00272
5.3785,1.46936,1.46278585,0.00291
5.4009,1.46589,1.459294548,0.00351
5.4235,1.4622,1.45575268,0.00454
5.4463,1.45881,1.452068722,0.00526
5.4693,1.45491,1.447995264,0.00598
5.4925,1.45028,1.443381324,0.00649
5.5159,1.44521,1.437827677,0.00669
5.5394,1.43918,1.431118388,0.00713
5.5632,1.43145,1.422876074,0.00767
5.5872,1.42127,1.41256826,0.00835
5.6114,1.40911,1.399278486,0.00953
5.6358,1.39244,1.381481438,0.0115
5.6604,1.36717,1.356726797,0.0159
5.6852,1.33151,1.319606597,0.0246
5.7103,1.27262,1.26436453,0.0564
5.7355,1.19759,1.221071631,0.176
5.761,1.21707,1.260682084,0.384
5.7867,1.38944,1.417943891,0.545
5.8127,1.65093,1.626876809,0.529
5.8389,1.831,1.757917856,0.313
5.8653,1.80268,1.757926648,0.121
5.8919,1.70765,1.702449451,0.0469
5.9188,1.65369,1.655185009,0.029
5.946,1.62648,1.625608369,0.0238
5.9734,1.60708,1.606141259,0.0184
6.0011,1.59271,1.590744645,0.0136
6.029,1.58032,1.577787074,0.0104
6.0571,1.56804,1.566863383,0.00875
6.0856,1.55853,1.557465335,0.00769
6.1143,1.5517,1.549337772,0.00742
6.1433,1.54442,1.542229136,0.00777
6.1725,1.53857,1.536602981,0.00937
6.202,1.53536,1.532519995,0.0102
6.2319,1.532,1.528422147,0.00874
6.262,1.52563,1.523095955,0.00737
6.2924,1.51833,1.517689522,0.00942
6.3231,1.51625,1.515299607,0.0146
6.3541,1.51936,1.515475552,0.0149
6.3854,1.51856,1.513804344,0.00993
6.417,1.5128,1.509420789,0.00714
6.4489,1.50701,1.504366273,0.00623
6.4811,1.50156,1.499203866,0.00603
6.5137,1.49597,1.494161161,0.00703
6.5466,1.49177,1.489362765,0.00815
6.5798,1.48589,1.48407813,0.00935
6.6134,1.48112,1.480116191,0.0151
6.6473,1.48466,1.479991199,0.02
6.6816,1.48378,1.478106935,0.0139
6.7162,1.47153,1.470219535,0.0108
6.7512,1.46173,1.462295188,0.0184
6.7865,1.46006,1.459044771,0.0274
6.8223,1.46002,1.458285871,0.0328
6.8583,1.46075,1.459014868,0.0377
6.8948,1.46485,1.460725061,0.0394
6.9317,1.46618,1.460677737,0.0349
6.969,1.46021,1.454571518,0.0268
7.0066,1.44202,1.4391221,0.021
7.0447,1.41615,1.423436015,0.0419
7.0832,1.42705,1.430508669,0.0842
7.1221,1.4668,1.453622153,0.0853
7.1615,1.47306,1.459854116,0.0531
7.2013,1.44888,1.446284614,0.0409
7.2415,1.43431,1.435809318,0.0556
7.2822,1.44464,1.438869257,0.0673
7.3233,1.45459,1.441386725,0.0519
7.3649,1.43632,1.427726753,0.0303
7.407,1.40586,1.404508451,0.0291
7.4496,1.38578,1.383676043,0.0381
7.4926,1.36725,1.362304086,0.0406
7.5362,1.33474,1.331755444,0.0441
7.5803,1.29253,1.292969027,0.0635
7.6249,1.24522,1.249863715,0.101
7.67,1.19301,1.212604376,0.175
7.7156,1.17092,1.206190882,0.291
7.7618,1.20793,1.242328045,0.404
7.8086,1.2816,1.308121779,0.492
7.8559,1.3817,1.405031903,0.579
7.9038,1.53949,1.539777332,0.629
7.9523,1.70521,1.678380948,0.582
8.0014,1.82389,1.788238798,0.495
8.0511,1.92141,1.864272767,0.371
8.1014,1.93253,1.876898504,0.197
8.1524,1.84944,1.824802001,0.0803
8.204,1.76797,1.75966341,0.0417
8.2562,1.71383,1.709461427,0.0295
8.3091,1.67401,1.670974407,0.0228
8.3628,1.64001,1.63799046,0.0193
8.4171,1.60858,1.608361108,0.0206
8.4721,1.58346,1.583616736,0.0287
8.5278,1.56603,1.563052859,0.0337
8.5843,1.54217,1.53818714,0.0311
8.6415,1.50207,1.503951145,0.0365
8.6995,1.4563,1.467006435,0.0652
8.7583,1.42098,1.43784556,0.116
8.8179,1.40294,1.427547463,0.191
8.8783,1.43215,1.454213187,0.286
8.9395,1.50643,1.512812654,0.342
9.0016,1.57258,1.580111928,0.37
9.0645,1.67477,1.671656424,0.408
9.1284,1.82059,1.776944751,0.357
9.1931,1.88114,1.830404478,0.214
9.2588,1.84268,1.814011543,0.103
9.3254,1.78046,1.76911868,0.049
9.393,1.72601,1.724113442,0.0331
9.4615,1.68799,1.690585921,0.0392
9.5311,1.66834,1.671564311,0.0535
9.6017,1.66381,1.662540245,0.0618
9.6733,1.6512,1.653313103,0.0635
9.7461,1.64332,1.653334608,0.092
9.8199,1.68815,1.679329395,0.114
9.8949,1.7238,1.701376699,0.0695
9.971,1.69689,1.689797402,0.0225
10.048,1.66393,1.66561957,0.0185
10.127,1.64969,1.650867701,0.0288
10.207,1.64728,1.647668209,0.0395
10.288,1.65261,1.650380439,0.0399
10.37,1.65357,1.650859496,0.0306
10.453,1.64708,1.646150326,0.0216
10.538,1.63832,1.638475067,0.0169
10.625,1.63038,1.630869965,0.0159
10.713,1.62369,1.624377062,0.0157
10.802,1.61763,1.61776864,0.0149
10.893,1.60939,1.609832654,0.0154
10.985,1.59926,1.602490938,0.0209
11.079,1.59487,1.598376384,0.03
11.174,1.59442,1.596874685,0.0357
11.272,1.59101,1.595453672,0.0437
11.37,1.60004,1.602931825,0.0612
11.471,1.62593,1.618045023,0.0631
11.573,1.63487,1.626457787,0.0413
11.678,1.62288,1.62132868,0.0276
11.784,1.6141,1.615392016,0.0277
11.892,1.61118,1.612286544,0.0267
12.002,1.6095,1.609134139,0.0238
12.114,1.60662,1.604893232,0.0217
12.229,1.60178,1.600231951,0.0215
12.345,1.59666,1.596023008,0.0215
12.464,1.59136,1.59192376,0.023
12.585,1.58976,1.589664039,0.025
12.708,1.58844,1.586265103,0.02
12.834,1.57832,1.577368691,0.0141
12.962,1.56594,1.564676794,0.0137
13.093,1.55212,1.547514481,0.013
13.227,1.52759,1.520395668,0.0152
13.363,1.47368,1.473060771,0.0286
13.502,1.41089,1.444615731,0.153
13.645,1.51756,1.5351618,0.361
13.79,1.76188,1.710853162,0.35
13.938,1.83856,1.79051127,0.132
14.089,1.74766,1.754925724,0.0233
14.244,1.70043,1.711300517,0.017
14.403,1.67956,1.687877685,0.00914
14.564,1.66168,1.671820081,0.00878
14.73,1.64964,1.661355701,0.00848
14.899,1.64074,1.653556126,0.00682
15.072,1.6358,1.646674023,0.00577
15.25,1.63292,1.640692036,0.00566
15.431,1.62609,1.635443356,0.0058
15.617,1.62066,1.631929527,0.00901
15.808,1.61792,1.631076361,0.0105
16.003,1.61632,1.629793021,0.00686
16.203,1.61404,1.626061548,0.00416
