The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  348.03        253.88        117.13         65.53
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
     956.0  0.0002170818  0.0002163837  0.0000021321  0.0000050853
     957.0  0.0002232106  0.0002224919  0.0000022135  0.0000052289
     958.0  0.0002299351  0.0002291939  0.0000023029  0.0000053864
     959.0  0.0002366855  0.0002359216  0.0000023931  0.0000055445
     960.0  0.0002428858  0.0002421011  0.0000024766  0.0000056898
     961.0  0.0002479914  0.0002471893  0.0000025460  0.0000058094
     962.0  0.0002515784  0.0002507636  0.0000025954  0.0000058934
     963.0  0.0002533818  0.0002525602  0.0000026210  0.0000059357
     964.0  0.0002532988  0.0002524764  0.0000026213  0.0000059337
     965.0  0.0002514664  0.0002506486  0.0000025979  0.0000058908
     966.0  0.0002480798  0.0002472716  0.0000025538  0.0000058115
     967.0  0.0002434345  0.0002426402  0.0000024933  0.0000057026
     968.0  0.0002377421  0.0002369648  0.0000024195  0.0000055693
     969.0  0.0002313236  0.0002305659  0.0000023368  0.0000054189
     970.0  0.0002245550  0.0002238181  0.0000022501  0.0000052604
     971.0  0.0002181233  0.0002174059  0.0000021679  0.0000051097
     972.0  0.0002128230  0.0002121216  0.0000021005  0.0000049856
     973.0  0.0002095664  0.0002088743  0.0000020594  0.0000049093
     974.0  0.0002091013  0.0002084095  0.0000020543  0.0000048984
     975.0  0.0002117847  0.0002110830  0.0000020899  0.0000049612
     976.0  0.0002176254  0.0002169034  0.0000021663  0.0000050980
     977.0  0.0002259961  0.0002252458  0.0000022756  0.0000052941
     978.0  0.0002361020  0.0002353174  0.0000024077  0.0000055309
     979.0  0.0002468004  0.0002459796  0.0000025480  0.0000057815
     980.0  0.0002572119  0.0002563558  0.0000026856  0.0000060254
     981.0  0.0002666141  0.0002657258  0.0000028113  0.0000062456
     982.0  0.0002747409  0.0002738246  0.0000029219  0.0000064360
     983.0  0.0002816021  0.0002806618  0.0000030176  0.0000065968
     984.0  0.0002873360  0.0002863754  0.0000030995  0.0000067311
     985.0  0.0002921546  0.0002911768  0.0000031700  0.0000068440
     986.0  0.0002960546  0.0002950625  0.0000032280  0.0000069353
     987.0  0.0002990806  0.0002980771  0.0000032735  0.0000070062
     988.0  0.0003011104  0.0003000986  0.0000033042  0.0000070537
     989.0  0.0003021124  0.0003010956  0.0000033196  0.0000070772
     990.0  0.0003020554  0.0003010377  0.0000033192  0.0000070759
