The columns below contain (from left to right):
Wavenumber, spectral surface albedo, spectral surface albedo weighted by 
the calculated spectral total downwelling SW flux at the surface, and the 
Spectral Solar Function (spectral irradiance) a la Kurucz incident at
TOA (no solar zenith or Earth-Sun distance adjustment --same in all files)
    wvn(cm-1)  sfcalb      sfcalb_w  SSF(mWm-2/cm-1)
    1229.0     0.00937     0.00035    3.63815999
    1230.0     0.00937     0.00036    3.64422989
    1231.0     0.00937     0.00037    3.65016007
    1232.0     0.00937     0.00037    3.65543008
    1233.0     0.00937     0.00037    3.66162992
    1234.0     0.00937     0.00036    3.66729999
    1235.0     0.00937     0.00035    3.67003989
    1236.0     0.00937     0.00034    3.67834997
    1237.0     0.00937     0.00033    3.68439007
    1238.0     0.00937     0.00031    3.68984008
    1239.0     0.00937     0.00030    3.68148994
    1240.0     0.00937     0.00028    3.70049000
    1241.0     0.00937     0.00027    3.70535994
    1242.0     0.00937     0.00025    3.71318007
    1243.0     0.00937     0.00024    3.71918988
    1244.0     0.00937     0.00023    3.71848989
    1245.0     0.00937     0.00023    3.72991991
    1246.0     0.00937     0.00023    3.73397994
    1247.0     0.00937     0.00023    3.73974991
    1248.0     0.00937     0.00023    3.74547005
    1249.0     0.00937     0.00024    3.75342011
    1250.0     0.00937     0.00024    3.75766993
    1251.0     0.00937     0.00023    3.76520991
    1252.0     0.00937     0.00023    3.77094007
    1253.0     0.00937     0.00022    3.77691007
    1254.0     0.00937     0.00021    3.78274989
    1255.0     0.00937     0.00019    3.78851008
    1256.0     0.00937     0.00018    3.79429007
    1257.0     0.00937     0.00016    3.79986000
    1258.0     0.00937     0.00015    3.80596995
    1259.0     0.00937     0.00013    3.81061006
    1260.0     0.00937     0.00011    3.81659007
    1261.0     0.00937     0.00010    3.82309008
    1262.0     0.00937     0.00009    3.82779002
    1263.0     0.00937     0.00008    3.83504009
    1264.0     0.00937     0.00008    3.84103990
    1265.0     0.00937     0.00007    3.84705997
    1266.0     0.00937     0.00006    3.85091996
    1267.0     0.00937     0.00006    3.85819006
    1268.0     0.00937     0.00005    3.86477995
    1269.0     0.00937     0.00005    3.87035990
    1270.0     0.00937     0.00004    3.87654996
    1271.0     0.00937     0.00004    3.88228989
    1272.0     0.00937     0.00005    3.88809991
    1273.0     0.00937     0.00005    3.89433002
    1274.0     0.00937     0.00006    3.89977002
    1275.0     0.00937     0.00007    3.90412998
    1276.0     0.00937     0.00008    3.91166997
    1277.0     0.00937     0.00008    3.91749001
    1278.0     0.00937     0.00009    3.92284989
    1279.0     0.00937     0.00009    3.92907000
    1280.0     0.00937     0.00010    3.93461990
    1281.0     0.00937     0.00010    3.94061995
    1282.0     0.00937     0.00010    3.94623995
    1283.0     0.00937     0.00010    3.95199990
    1284.0     0.00937     0.00010    3.95908999
    1285.0     0.00937     0.00010    3.96511006
    1286.0     0.00937     0.00010    3.97028995
    1287.0     0.00937     0.00010    3.97615004
    1288.0     0.00937     0.00009    3.98229003
    1289.0     0.00937     0.00009    3.98784995
    1290.0     0.00937     0.00009    3.99505997
    1291.0     0.00937     0.00008    4.00100994
    1292.0     0.00937     0.00008    4.00605011
    1293.0     0.00937     0.00007    4.01100016
    1294.0     0.00937     0.00006    4.01686001
    1295.0     0.00937     0.00006    4.02474022
    1296.0     0.00937     0.00005    4.03039980
    1297.0     0.00937     0.00004    4.03279018
    1298.0     0.00937     0.00004    4.04116011
    1299.0     0.00937     0.00003    4.03320980
    1300.0     0.00937     0.00003    4.05374002
    1301.0     0.00937     0.00003    4.05981016
    1302.0     0.00937     0.00002    4.06705999
    1303.0     0.00937     0.00002    4.07234001
    1304.0     0.00937     0.00003    4.07891989
    1305.0     0.00937     0.00003    4.08433008
    1306.0     0.00937     0.00004    4.08779001
    1307.0     0.00937     0.00005    4.09682989
    1308.0     0.00937     0.00005    4.10315990
    1309.0     0.00937     0.00006    4.10899019
    1310.0     0.00937     0.00006    4.11147022
    1311.0     0.00937     0.00006    4.11430979
    1312.0     0.00937     0.00006    4.12723017
    1313.0     0.00937     0.00005    4.13345003
    1314.0     0.00937     0.00004    4.13933992
    1315.0     0.00937     0.00004    4.14504004
    1316.0     0.00937     0.00004    4.15140009
    1317.0     0.00937     0.00004    4.15651989
    1318.0     0.00937     0.00004    4.16363001
    1319.0     0.00937     0.00005    4.16887999
    1320.0     0.00937     0.00006    4.16896009
    1321.0     0.00937     0.00008    4.18214989
    1322.0     0.00937     0.00010    4.18774986
    1323.0     0.00937     0.00011    4.19374990
    1324.0     0.00937     0.00013    4.19926977
    1325.0     0.00937     0.00014    4.19724989
    1326.0     0.00937     0.00015    4.21066999
    1327.0     0.00937     0.00016    4.21250010
    1328.0     0.00937     0.00016    4.22434998
    1329.0     0.00937     0.00016    4.22917986
    1330.0     0.00937     0.00015    4.23140001
    1331.0     0.00937     0.00014    4.23788977
    1332.0     0.00937     0.00013    4.23052979
    1333.0     0.00937     0.00012    4.20285988
    1334.0     0.00937     0.00010    4.25465012
    1335.0     0.00937     0.00009    4.26554012
    1336.0     0.00937     0.00007    4.26971006
    1337.0     0.00937     0.00006    4.27799988
    1338.0     0.00937     0.00004    4.27663994
    1339.0     0.00937     0.00004    4.28864002
    1340.0     0.00937     0.00004    4.24762011
    1341.0     0.00937     0.00004    4.24408007
    1342.0     0.00937     0.00005    4.30424976
    1343.0     0.00937     0.00006    4.31133986
    1344.0     0.00937     0.00006    4.30631018
    1345.0     0.00937     0.00007    4.32802010
    1346.0     0.00937     0.00007    4.33163023
    1347.0     0.00937     0.00007    4.33778000
    1348.0     0.00937     0.00006    4.33961010
    1349.0     0.00937     0.00006    4.35241985
    1350.0     0.00937     0.00006    4.35803986
    1351.0     0.00937     0.00005    4.36617994
    1352.0     0.00937     0.00005    4.37284994
    1353.0     0.00937     0.00005    4.37942982
    1354.0     0.00937     0.00005    4.38478994
    1355.0     0.00937     0.00005    4.38682985
    1356.0     0.00937     0.00004    4.39728022
    1357.0     0.00937     0.00004    4.40342999
    1358.0     0.00937     0.00003    4.40887022
    1359.0     0.00937     0.00003    4.41645002
    1360.0     0.00937     0.00003    4.42290020
    1361.0     0.00937     0.00002    4.42802000
    1362.0     0.00937     0.00002    4.41957998
    1363.0     0.00937     0.00002    4.43211985
    1364.0     0.00937     0.00002    4.43965006
    1365.0     0.00937     0.00002    4.45302010
    1366.0     0.00937     0.00002    4.45999002
    1367.0     0.00937     0.00002    4.46627998
    1368.0     0.00937     0.00002    4.47279978
    1369.0     0.00937     0.00002    4.47818995
    1370.0     0.00937     0.00001    4.48388004
