The row below gives BB SW fluxes in Wm-2 :
                SFC_DN_TOT     SFC_DN_DIR     TOA_UP        SFC_UP
                  773.07        675.04        173.55        132.34
Spectral values follow (Wm-2/cm-1)
   wvn(cm-1) SFC_DN_TOT    SFC_DN_DIR     TOA_UP        SFC_UP  
    1034.0  0.0005204931  0.0005198190  0.0000014429  0.0000039825
    1035.0  0.0005107336  0.0005100702  0.0000014122  0.0000039078
    1036.0  0.0005034866  0.0005028307  0.0000014041  0.0000038524
    1037.0  0.0005035838  0.0005029262  0.0000014436  0.0000038531
    1038.0  0.0005158168  0.0005151412  0.0000015539  0.0000039467
    1039.0  0.0005433673  0.0005426533  0.0000017486  0.0000041575
    1040.0  0.0005853098  0.0005845386  0.0000020180  0.0000044784
    1041.0  0.0006363786  0.0006355378  0.0000023293  0.0000048692
    1042.0  0.0006867633  0.0006858540  0.0000026253  0.0000052547
    1043.0  0.0007254208  0.0007244587  0.0000028443  0.0000055505
    1044.0  0.0007425133  0.0007415273  0.0000029336  0.0000056812
    1045.0  0.0007331720  0.0007321979  0.0000028708  0.0000056098
    1046.0  0.0006983657  0.0006974380  0.0000026665  0.0000053435
    1047.0  0.0006443418  0.0006434862  0.0000023605  0.0000049301
    1048.0  0.0005805662  0.0005797964  0.0000020084  0.0000044421
    1049.0  0.0005165171  0.0005158328  0.0000016626  0.0000039521
    1050.0  0.0004600065  0.0004593981  0.0000013640  0.0000035197
    1051.0  0.0004157968  0.0004152476  0.0000011340  0.0000031814
    1052.0  0.0003858527  0.0003853432  0.0000009794  0.0000029523
    1053.0  0.0003700985  0.0003696095  0.0000008953  0.0000028318
    1054.0  0.0003673333  0.0003668474  0.0000008734  0.0000028106
    1055.0  0.0003759318  0.0003754335  0.0000009038  0.0000028764
    1056.0  0.0003946488  0.0003941246  0.0000009807  0.0000030196
    1057.0  0.0004223254  0.0004217629  0.0000011003  0.0000032314
    1058.0  0.0004586179  0.0004580054  0.0000012643  0.0000035091
    1059.0  0.0005030262  0.0005023526  0.0000014748  0.0000038488
    1060.0  0.0005555845  0.0005548385  0.0000017379  0.0000042510
    1061.0  0.0006156787  0.0006148497  0.0000020563  0.0000047108
    1062.0  0.0006830677  0.0006821454  0.0000024348  0.0000052264
    1063.0  0.0007568395  0.0007558147  0.0000028733  0.0000057909
    1064.0  0.0008364866  0.0008353507  0.0000033722  0.0000064003
    1065.0  0.0009207153  0.0009194610  0.0000039239  0.0000070447
    1066.0  0.0010075300  0.0010061529  0.0000045135  0.0000077090
    1067.0  0.0010935270  0.0010920290  0.0000051129  0.0000083670
    1068.0  0.0011737820  0.0011721700  0.0000056832  0.0000089811
    1069.0  0.0012434830  0.0012417710  0.0000061852  0.0000095144
    1070.0  0.0012984700  0.0012966790  0.0000065859  0.0000099351
    1071.0  0.0013382360  0.0013363890  0.0000068800  0.0000102393
    1072.0  0.0013646600  0.0013627750  0.0000070810  0.0000104415
    1073.0  0.0013834269  0.0013815130  0.0000072310  0.0000105851
    1074.0  0.0013997880  0.0013978480  0.0000073694  0.0000107103
    1075.0  0.0014189000  0.0014169300  0.0000075332  0.0000108565
    1076.0  0.0014423110  0.0014403031  0.0000077326  0.0000110357
    1077.0  0.0014694640  0.0014674130  0.0000079599  0.0000112434
    1078.0  0.0014978310  0.0014957340  0.0000081942  0.0000114605
    1079.0  0.0015242640  0.0015221240  0.0000084088  0.0000116627
    1080.0  0.0015470700  0.0015448940  0.0000085913  0.0000118372
    1081.0  0.0015649380  0.0015627320  0.0000087317  0.0000119739
    1082.0  0.0015784870  0.0015762590  0.0000088373  0.0000120776
    1083.0  0.0015880690  0.0015858239  0.0000089128  0.0000121509
    1084.0  0.0015945110  0.0015922530  0.0000089674  0.0000122002
    1085.0  0.0015980520  0.0015957860  0.0000090050  0.0000122273
    1086.0  0.0015989729  0.0015967030  0.0000090290  0.0000122343
    1087.0  0.0015976920  0.0015954220  0.0000090436  0.0000122246
    1088.0  0.0015955420  0.0015932720  0.0000090584  0.0000122081
    1089.0  0.0015945040  0.0015922320  0.0000090886  0.0000122002
    1090.0  0.0015970310  0.0015947530  0.0000091512  0.0000122195
    1091.0  0.0016048220  0.0016025270  0.0000092581  0.0000122791
    1092.0  0.0016174710  0.0016151540  0.0000094024  0.0000123759
    1093.0  0.0016323660  0.0016300220  0.0000095600  0.0000124898
    1094.0  0.0016444880  0.0016421220  0.0000096857  0.0000125826
    1095.0  0.0016487910  0.0016464160  0.0000097364  0.0000126155
    1096.0  0.0016416460  0.0016392800  0.0000096797  0.0000125608
    1097.0  0.0016228911  0.0016205530  0.0000095158  0.0000124174
    1098.0  0.0015961040  0.0015938040  0.0000092760  0.0000122124
    1099.0  0.0015671200  0.0015648640  0.0000090135  0.0000119906
    1100.0  0.0015423330  0.0015401141  0.0000087853  0.0000118010
    1101.0  0.0015255050  0.0015233100  0.0000086267  0.0000116722
    1102.0  0.0015174859  0.0015153009  0.0000085467  0.0000116109
    1103.0  0.0015157730  0.0015135880  0.0000085244  0.0000115978
    1104.0  0.0015168890  0.0015147000  0.0000085295  0.0000116063
    1105.0  0.0015181910  0.0015159970  0.0000085376  0.0000116163
    1106.0  0.0015187010  0.0015165040  0.0000085395  0.0000116201
    1107.0  0.0015197860  0.0015175850  0.0000085457  0.0000116285
    1108.0  0.0015233780  0.0015211680  0.0000085732  0.0000116559
    1109.0  0.0015317861  0.0015295600  0.0000086425  0.0000117203
    1110.0  0.0015465860  0.0015443340  0.0000087672  0.0000118335
    1111.0  0.0015678920  0.0015656030  0.0000089488  0.0000119965
    1112.0  0.0015945249  0.0015921900  0.0000091752  0.0000122003
    1113.0  0.0016226460  0.0016202630  0.0000094135  0.0000124155
    1114.0  0.0016473240  0.0016448990  0.0000096213  0.0000126043
    1115.0  0.0016627359  0.0016602830  0.0000097503  0.0000127222
    1116.0  0.0016650810  0.0016626220  0.0000097713  0.0000127401
    1117.0  0.0016537460  0.0016513010  0.0000096808  0.0000126534
    1118.0  0.0016327820  0.0016303660  0.0000095145  0.0000124930
    1119.0  0.0016096930  0.0016073100  0.0000093337  0.0000123164
    1120.0  0.0015936421  0.0015912800  0.0000092121  0.0000121935
    1121.0  0.0015922530  0.0015898891  0.0000092099  0.0000121829
    1122.0  0.0016089251  0.0016065310  0.0000093529  0.0000123105
    1123.0  0.0016422350  0.0016397830  0.0000096284  0.0000125654
    1124.0  0.0016858230  0.0016832980  0.0000099845  0.0000128989
    1125.0  0.0017314680  0.0017288669  0.0000103533  0.0000132481
    1126.0  0.0017705250  0.0017678580  0.0000106629  0.0000135470
    1127.0  0.0017960420  0.0017933330  0.0000108548  0.0000137422
    1128.0  0.0018029710  0.0018002490  0.0000108869  0.0000137952
    1129.0  0.0017880240  0.0017853230  0.0000107340  0.0000136809
    1130.0  0.0017495230  0.0017468820  0.0000103880  0.0000133863
    1131.0  0.0016885150  0.0016859720  0.0000098635  0.0000129195
    1132.0  0.0016092520  0.0016068340  0.0000092025  0.0000123130
    1133.0  0.0015213900  0.0015191101  0.0000084849  0.0000116407
    1134.0  0.0014382350  0.0014360850  0.0000078162  0.0000110045
    1135.0  0.0013754730  0.0013734211  0.0000073147  0.0000105243
    1136.0  0.0013459360  0.0013439280  0.0000070754  0.0000102983
    1137.0  0.0013562570  0.0013542300  0.0000071451  0.0000103772
    1138.0  0.0014039120  0.0014018050  0.0000075023  0.0000107419
    1139.0  0.0014785510  0.0014763210  0.0000080682  0.0000113130
    1140.0  0.0015647670  0.0015623959  0.0000087257  0.0000119726
    1141.0  0.0016468629  0.0016443570  0.0000093542  0.0000126008
    1142.0  0.0017119310  0.0017093160  0.0000098521  0.0000130986
    1143.0  0.0017515830  0.0017489020  0.0000101508  0.0000134020
