Flux units are Wm-2/cm-1   
    wavn(cm-1) flxtoa_up     flxsfc_dn
     257.5     0.1607881     0.2525989
     258.5     0.1672576     0.2537708
     259.5     0.1710221     0.2549463
     260.5     0.1743807     0.2561266
     261.5     0.1764049     0.2573148
     262.5     0.1755942     0.2585350
     263.5     0.1681443     0.2597622
     264.5     0.1743966     0.2609615
     265.5     0.1599151     0.2622288
     266.5     0.1509586     0.2634456
     267.5     0.1701419     0.2646164
     268.5     0.1816469     0.2657323
     269.5     0.1844104     0.2669016
     270.5     0.1852911     0.2680992
     271.5     0.1798466     0.2693652
     272.5     0.1818189     0.2705621
     273.5     0.1802733     0.2717554
     274.5     0.1774449     0.2729478
     275.5     0.1588844     0.2741719
     276.5     0.1539959     0.2753530
     277.5     0.1530659     0.2765249
     278.5     0.1508219     0.2777001
     279.5     0.1579831     0.2788669
     280.5     0.1541562     0.2800218
     281.5     0.1552359     0.2811548
     282.5     0.1531480     0.2822943
     283.5     0.1682532     0.2834066
     284.5     0.1802140     0.2845231
     285.5     0.1821935     0.2856399
     286.5     0.1876992     0.2867478
     287.5     0.1848511     0.2879035
     288.5     0.1722607     0.2890815
     289.5     0.1553151     0.2902440
     290.5     0.1665373     0.2913696
     291.5     0.1883474     0.2924444
     292.5     0.1984294     0.2935046
     293.5     0.2030852     0.2945924
     294.5     0.2046748     0.2957153
     295.5     0.1965956     0.2968979
     296.5     0.2059260     0.2980004
     297.5     0.2023552     0.2991773
     298.5     0.1804106     0.3003758
     299.5     0.1915056     0.3014363
     300.5     0.1861086     0.3025561
     301.5     0.1682057     0.3036886
     302.5     0.1615819     0.3047949
     303.5     0.1642321     0.3058924
     304.5     0.1805635     0.3069692
     305.5     0.1957778     0.3079860
     306.5     0.2011343     0.3089933
     307.5     0.2114431     0.3099788
     308.5     0.2126456     0.3110194
     309.5     0.1979847     0.3121393
     310.5     0.2195706     0.3130371
     311.5     0.2136239     0.3142119
     312.5     0.2204507     0.3151712
     313.5     0.2120312     0.3163117
     314.5     0.1818184     0.3175107
     315.5     0.1861492     0.3185726
     316.5     0.2161245     0.3194660
     317.5     0.2242471     0.3204031
     318.5     0.2262263     0.3214276
     319.5     0.2249417     0.3225190
     320.5     0.2145626     0.3237236
     321.5     0.2081154     0.3247887
     322.5     0.1955993     0.3258709
     323.5     0.1691969     0.3269406
     324.5     0.1819398     0.3279389
     325.5     0.1990317     0.3289115
     326.5     0.1980488     0.3299410
     327.5     0.1721562     0.3309919
     328.5     0.1851473     0.3319875
     329.5     0.2132183     0.3329122
     330.5     0.2235175     0.3337981
     331.5     0.2274858     0.3347154
     332.5     0.2274488     0.3356406
     333.5     0.2176467     0.3366991
     334.5     0.1826496     0.3378125
     335.5     0.1783558     0.3387920
     336.5     0.2158184     0.3396160
     337.5     0.2303251     0.3404353
     338.5     0.2354468     0.3413661
     339.5     0.2267723     0.3424461
     340.5     0.1896421     0.3436050
     341.5     0.2198635     0.3444327
     342.5     0.2280566     0.3453901
     343.5     0.2084665     0.3464491
     344.5     0.2427091     0.3471302
     345.5     0.2226921     0.3481798
     346.5     0.2390836     0.3490253
     347.5     0.2395894     0.3500198
     348.5     0.2229010     0.3511006
     349.5     0.1905725     0.3521122
     350.5     0.2085631     0.3530050
     351.5     0.1907485     0.3539446
     352.5     0.2036106     0.3548395
     353.5     0.2082681     0.3557471
     354.5     0.1821404     0.3566995
     355.5     0.2222023     0.3574876
     356.5     0.2129005     0.3583515
     357.5     0.1878015     0.3592858
     358.5     0.2070515     0.3601367
     359.5     0.2442991     0.3607481
     360.5     0.2568677     0.3613275
     361.5     0.2572480     0.3621128
     362.5     0.2503739     0.3630798
     363.5     0.2679869     0.3635476
     364.5     0.2714510     0.3642601
     365.5     0.2729500     0.3650745
     366.5     0.2720844     0.3659880
     367.5     0.2640516     0.3670806
     368.5     0.2549533     0.3683046
     369.5     0.2067648     0.3696359
     370.5     0.2155139     0.3704226
     371.5     0.2549755     0.3708968
     372.5     0.2555622     0.3717750
     373.5     0.2412680     0.3728172
     374.5     0.2017582     0.3738003
     375.5     0.2120981     0.3746008
     376.5     0.2136896     0.3753937
     377.5     0.2595778     0.3758920
     378.5     0.2505368     0.3766527
     379.5     0.2771235     0.3768973
     380.5     0.2710295     0.3777269
     381.5     0.2774931     0.3783325
     382.5     0.2725525     0.3793010
     383.5     0.2357519     0.3807091
     384.5     0.2109949     0.3816275
     385.5     0.2015053     0.3823905
     386.5     0.2576735     0.3825952
     387.5     0.2785991     0.3827719
     388.5     0.2864670     0.3832654
     389.5     0.2846555     0.3841563
     390.5     0.2906579     0.3847282
     391.5     0.2874752     0.3857234
     392.5     0.2831380     0.3868507
     393.5     0.2607009     0.3882433
     394.5     0.2246908     0.3892464
     395.5     0.2522556     0.3898154
     396.5     0.2042721     0.3907354
     397.5     0.1971416     0.3914694
     398.5     0.2287867     0.3921225
     399.5     0.2363297     0.3927946
     400.5     0.2275951     0.3935042
     401.5     0.2819025     0.3935389
     402.5     0.2944840     0.3936086
     403.5     0.3004448     0.3939006
     404.5     0.3032366     0.3943861
     405.5     0.2854550     0.3957104
     406.5     0.3078136     0.3953073
     407.5     0.3095123     0.3958110
     408.5     0.3111309     0.3963321
     409.5     0.3099354     0.3971459
     410.5     0.3114582     0.3976266
     411.5     0.3105857     0.3983645
     412.5     0.3087966     0.3991966
     413.5     0.3054302     0.4001125
     414.5     0.2891878     0.4015197
     415.5     0.2879569     0.4024264
     416.5     0.2723348     0.4035703
     417.5     0.2352912     0.4047714
     418.5     0.2008556     0.4055383
     419.5     0.1996562     0.4061936
     420.5     0.2301001     0.4067140
     421.5     0.2726101     0.4069283
     422.5     0.2602945     0.4077705
     423.5     0.2605391     0.4083383
     424.5     0.2923588     0.4083938
     425.5     0.2580822     0.4095802
     426.5     0.2622841     0.4096128
     427.5     0.3111036     0.4086396
     428.5     0.3069645     0.4094314
     429.5     0.3124929     0.4096402
     430.5     0.2822790     0.4114515
     431.5     0.2492229     0.4126743
     432.5     0.3121991     0.4112167
     433.5     0.3204451     0.4114530
     434.5     0.2920056     0.4138426
